0.382872616238*春晚 0.183559672047*2014 0.181307343698*节目 0.132886558448*中国 0.119373809569*卫视
0.206796586855*春晚 0.20028918767*主持 0.199566218496*谢娜 0.19667400349*张国立 0.19667400349*主持人
0.240226429821*何炅 0.208468777881*阵容 0.188111091159*谢娜 0.186482575197*春晚 0.176711125942*主持
0.260715309589*春晚 0.216122172401*央视 0.185249881169*主持 0.17324417974*时代 0.164668457102*电视
0.27982185209*春晚 0.240778750575*一年 0.185467212699*2014 0.182213689105*2013 0.111718495531*小伙伴
0.429657033243*春晚 0.159199587486*阵容 0.140653908582*节目 0.140653908582*主持 0.129835562106*老师
0.436132724039*春晚 0.150916334955*小 0.14096681899*期待 0.137650313669*快乐 0.134333808347*小
0.409193731608*春晚 0.187980280869*直通 0.145783681108*宇 0.130439039197*华晨 0.126603267218*花花
0.249507807139*我是歌手 0.210525458697*春晚 0.210525458697*卫视 0.167644313867*台 0.161796961601*2014
0.330329204062*春晚 0.188510987012*舞台 0.16876411897*变 0.166968892323*本山 0.145426797633*大叔
0.379862689283*春晚 0.193711144286*2014 0.173586652935*央视 0.127048527519*节目 0.125790985977*马
0.225142808405*晚会 0.213448290821*春晚 0.210524845243*2014 0.175442027765*我是歌手 0.175442027765*湖南卫视
0.442102858102*我是歌手 0.178458055643*歌手 0.143091615102*春晚 0.123800478153*湖南卫视 0.112546993*唱
0.208039429826*主持人 0.202397509795*春晚 0.200987326127*主持 0.194640511823*马 0.193935222429*董卿
0.207779546546*名单 0.201138386683*消息 0.198292419975*张国立 0.198292419975*主持 0.19449722682*确认
0.322415740639*春晚 0.179908843577*陕西 0.179908843577*街 0.158883286103*单位 0.158883286103*戏装
0.248048689879*跨 0.23636136172*春晚 0.194805356039*我是歌手 0.16623596026*2014 0.154548632101*快乐
0.409030817369*春晚 0.17976412277*2014 0.15716055876*希望 0.14101509222*陪 0.113029408881*一年
0.30955172455*春晚 0.245823478039*2013 0.150231284206*唱歌 0.147196756602*眼 0.147196756602*夜
0.502867212248*春晚 0.158962841347*冯小刚 0.125728239095*导演 0.115613316912*私人 0.0968283903983*电影
