0.298128997089*马航 0.192741967958*失联 0.178023844454*客机 0.169485000905*搜寻 0.161620189594*MH370
0.328023935656*欧冠 0.321859042697*欧冠 0.12599581085*球队 0.116876863997*皇马 0.107244346799*曼联
0.53674424713*文章 0.163534421082*发表 0.104208091721*中国 0.0990188458338*世界 0.0964943942325*篇文章
0.315725257497*马航 0.206739963087*中国 0.179971422334*马来西亚 0.160134156264*失联 0.137429200818*事件
0.250352302631*马航 0.224470286966*黄金 0.194588244182*白银 0.172941608321*飞机 0.157647557901*现货
0.244379053138*欧冠 0.237184797712*欧冠 0.180980405798*中国 0.169065190536*球迷 0.168390552816*巴萨
0.387103605139*文章 0.19948768109*出轨 0.19072046698*姚笛 0.1266528729*爱情 0.0960353738907*马伊琍
0.287030111824*中国 0.202460143785*马航 0.191696866171*时间 0.190159028714*找到 0.128653849506*北京
0.300707968502*欧冠 0.299986042315*欧冠 0.161282717915*决赛 0.119458415115*回合 0.118564856152*巴萨
0.388827321796*我是歌手 0.223236547491*邓紫棋 0.163802759194*歌手 0.127820103919*韩磊 0.0963132675998*张杰
0.477583066315*兰州 0.205373086714*兰州市 0.121703075374*工地 0.108594490693*项目 0.086746280904*中国
0.317693635859*XP 0.192202716442*微软 0.177607609283*系统 0.161946043868*停止 0.150549994549*服务
0.254968987985*连城 0.252053754567*宫锁 0.167373732863*推荐 0.16591596322*篇文章 0.159687561365*阅读
0.399114835602*文章 0.191294541997*事件 0.153821153574*马航 0.148584791147*中国 0.10718467768*关注
0.375487205536*美剧 0.37228973044*美剧 0.112078885013*美国 0.0825941912804*电影 0.0575499877309*剧情
0.348606552703*马航 0.203659485052*MH370 0.198727132592*失联 0.130788158296*客机 0.118218671358*航班
0.345072577218*打车 0.236222853437*文章 0.165629487151*司机 0.127524322874*软件 0.125550759321*出租车
0.296259249079*文章 0.203985009285*喜欢 0.178834219412*篇文章 0.16054232955*老师 0.160379192674*时间
0.351632009453*文章 0.209649992277*打车 0.150306397887*发表 0.144760274044*地方 0.143651326339*发现
0.209546294427*支持 0.20452170335*保护 0.203892411796*奇葩 0.197823547428*大赛 0.184216042999*腰精
