0.249538660369*欧冠 0.247236299135*欧冠 0.168969570016*世界 0.167588261698*足球 0.166667208781*精彩
0.287954104695*奶茶 0.247008224341*文章 0.215899808346*妹妹 0.141186643042*京东 0.107951219576*中国
0.351230733445*连城 0.346995966255*宫锁 0.11412708859*袁姗姗 0.10104014636*陆毅 0.0866060653508*剧情
0.32736565299*马航 0.215638558968*失联 0.168437740731*MH370 0.145684431311*客机 0.142873616*黑匣子
0.472040132029*兰州 0.170661104161*自来水 0.159630099595*兰州市 0.119818074249*超标 0.0778505899651*市民
0.294404903342*欧冠 0.283066979068*欧冠 0.174603732542*相信 0.126607741665*皇马 0.121316643384*巴萨
0.449121800027*我是歌手 0.156559237292*湖南卫视 0.132637688436*邓紫棋 0.131402281765*巅峰 0.130278992481*歌手
0.503345445297*文章 0.213288709359*出轨 0.102458248124*采访 0.0949205120961*世界 0.085987085124*家庭
0.529997623192*文章 0.134321881206*打车 0.131811153621*手机 0.124279482009*微信 0.0795898599728*活动
0.217664805186*超标 0.209588844944*自来水 0.209078954082*兰州 0.184043938174*含量 0.179623457613*兰州市
0.303076301499*发布 0.23085995071*文章 0.161010688038*问题 0.156669885176*兰州 0.148383174576*下载
0.471094914349*文章 0.182484802274*姚笛 0.138050221341*出轨 0.113783676819*马伊琍 0.0945863852176*喜欢
0.292463994265*欧冠 0.290973861385*欧冠 0.140267689446*皇马 0.139568517936*决赛 0.136725936968*拜仁
0.276213182426*PX 0.187814638078*组织 0.184958600724*专业 0.176934808063*资金 0.174078770709*官员
0.266986722278*事件 0.215355428274*兰州 0.200642042177*文章 0.162921822917*中国 0.154093984354*马航
0.283329262823*文章 0.217178666076*中国 0.181152374119*台湾 0.180541544741*美国 0.137798152241*服贸
0.441164167427*打车 0.216604332959*司机 0.149236795034*出租车 0.114590329673*软件 0.0784043749072*师傅
0.348033303487*XP 0.206495680144*系统 0.164789430358*用户 0.154602485051*服务 0.12607910096*停止
0.280490494275*美剧 0.279689997079*美剧 0.186148892478*篇文章 0.13370737603*推荐 0.119963240138*阅读
0.329337608482*马航 0.256517056497*飞机 0.141744400292*失事 0.140096118691*黄金 0.132304816037*失联
