0.310515534589*兰州 0.214362576644*自来水 0.178859864988*污染 0.153711925206*发生 0.142550098573*事故
0.428699604075*我是歌手 0.228367859358*喜欢 0.123807128392*歌手 0.120321857423*文章 0.0988035507526*巅峰
0.325738716293*连城 0.319118895399*宫锁 0.128505383361*台湾 0.121106597953*服贸 0.105530406993*袁姗姗
0.314902475164*马航 0.222313480897*失联 0.171541360073*客机 0.166858404362*MH370 0.124384279503*乘客
0.349775759654*美剧 0.348583542648*美剧 0.129955571725*韩剧 0.0868857528668*星星 0.0847993731066*纸牌
0.289894028271*文章 0.270645944913*篇文章 0.15697786114*下载 0.143061833911*阅读 0.139420331765*地址
0.242198885403*扫黄打非 0.205479553774*信息 0.189307499543*净网 0.182077662794*色情 0.180936398486*全国
0.225015950131*兰州 0.201160614034*自来水 0.19495479253*超标 0.190038869502*管道 0.188829773803*污染
0.279068065775*兰州 0.218776470472*文章 0.175280253695*问题 0.170543318248*系统 0.15633189181*时间
0.325673991154*兰州 0.254323898626*打车 0.189729670648*文章 0.120541606408*地方 0.109730833164*学生
0.327627202631*马航 0.232854352551*飞机 0.18276871474*失联 0.141987591942*MH370 0.114762138137*客机
0.337800780793*文章 0.280662945517*马伊琍 0.208965019407*现身 0.0944440293124*姚笛 0.0781272249707*出轨
0.232070158347*停止 0.220342501579*服务 0.190121867135*苹果 0.184483609751*爸爸 0.172981863187*青春
0.328085093367*欧冠 0.327790986446*欧冠 0.11718454974*拜仁 0.113506448588*决赛 0.113432921858*比赛
0.302833433164*XP 0.202386905708*保护 0.177192339368*奇葩 0.160285451191*支持 0.157301870569*明星
0.288856853094*奶茶 0.216643362392*京东 0.17400328465*老板 0.162655376993*妹妹 0.15784112287*关心
0.252477566874*北京 0.204708178114*文章 0.202643045911*滑冰场 0.170292002304*发生 0.169879206798*滑冰
0.316029965188*马航 0.246898624985*文章 0.155489870009*飞机 0.14354693705*失联 0.138034602767*中国
0.401665647898*打车 0.226209816797*司机 0.143194254331*出租车 0.13503776906*软件 0.0938925119147*手机
0.340010877321*兰州 0.241531328499*自来水 0.157971442495*超标 0.146570502214*兰州市 0.113915849471*污染
