0.260824795655*观看 0.22193910322*高清 0.193071741675*文章 0.167770706796*电视剧 0.156393652654*爱奇艺
0.280354817866*马航 0.207184473311*信号 0.194459145499*黑匣子 0.16874367731*MH370 0.149257886014*搜索
0.340870475503*欧冠 0.340466962519*欧冠 0.12160267287*决赛 0.099594786497*拜仁 0.0974651026119*皇马
0.296114127743*XP 0.191170836091*使用 0.190267227456*系统 0.171421265897*用户 0.151026542813*电脑
0.269126074045*兰州 0.247929964411*自来水 0.205338740448*超标 0.140888995462*自流 0.136716225633*污染
0.306425343151*奶茶 0.240062653978*妹妹 0.215023364567*京东 0.121345562126*章泽天 0.117143076178*恋情
0.323087414433*兰州 0.191136662628*自来水 0.163616836253*超标 0.161615617312*水务 0.160543469374*威立雅
0.254887016695*停止 0.251382731317*服务 0.174474544058*苹果 0.163593114218*爸爸 0.155662593712*青春
0.218154264792*保护 0.208572809645*奇葩 0.196772587768*XP 0.194452908434*我是歌手 0.182047429361*私人
0.333029269488*马航 0.207434837175*失联 0.186517918749*航班 0.148748687336*北京 0.124269287253*失去
0.216434689696*文章 0.212389227617*白银 0.192414758602*单群 0.190139186182*黄金 0.188622137903*XP
0.383361155692*兰州 0.218534049072*自来水 0.139964718344*事件 0.129967238462*污染 0.12817283843*超标
0.248022159795*扫黄打非 0.218038046653*净网 0.18203786995*色情 0.179101009985*信息 0.172800913617*行动
0.351510443818*文章 0.189344958576*发布 0.163787148403*微刊 0.151548243856*专家 0.143809205348*医院
0.313248113306*连城 0.309704045391*宫锁 0.151582090566*文章 0.119684756496*电视剧 0.10578099424*陆毅
0.248868525581*美剧 0.242631396466*美剧 0.237006252487*文章 0.156414558265*喜欢 0.1150792672*时间
0.346779739689*文章 0.2614632934*中国 0.154762303605*我是歌手 0.122134823864*发表 0.114859839442*美国
0.312717938864*马航 0.194111989617*MH370 0.169543595419*事件 0.162448541578*搜寻 0.161177934522*客机
0.424768579429*文章 0.171101146351*马伊琍 0.147147007638*篇文章 0.138095246737*姚笛 0.118888019846*阅读
0.343350028919*兰州 0.29180404786*打车 0.137166596501*司机 0.127381383307*城市 0.100297943413*市民
