0.269386950113*政府 0.211712512197*项目 0.210470219436*PX 0.187577902801*兰州 0.120852415454*事件
0.244487362509*兰州 0.221772457939*超标 0.192714244475*自来水 0.172778435001*威立雅 0.168247500077*检测
0.297078716086*舌尖上的中国 0.219747592675*播出 0.166543308148*美食 0.158871856262*时节 0.157758526829*脚步
0.395108664643*马航 0.196058823353*飞机 0.142430283585*中国 0.141682100096*美国 0.124720128324*失联
0.228139381679*文章 0.207988398711*频道 0.196113745669*网易 0.191255986117*游戏 0.176502487825*合作
0.396958227178*NBA 0.165847918772*火箭 0.152939119054*马刺 0.143175807339*季后赛 0.141078927656*热火
0.356066177539*文章 0.170631137105*工作 0.167961914341*全国 0.153398553547*发布 0.151942217468*网站
0.291255405067*中国 0.253824237443*文章 0.15765091143*兰州 0.155465168788*问题 0.141804277272*发表
0.323881639351*打车 0.280793987224*兰州 0.149928210037*司机 0.124940419214*软件 0.120455744174*自来水
0.292871681968*奶茶 0.248446152946*妹妹 0.171641269746*京东 0.148009039486*恋情 0.139031855854*章泽天
0.280157737733*扫黄打非 0.246944958054*净网 0.188263651104*文章 0.15453502546*白银 0.130098627648*咨询
0.355347072915*NBA 0.214142913298*欧冠 0.165221508113*时间 0.137869939026*比赛 0.127418566648*篮球
0.242183046423*中国 0.218373723197*美国 0.203944238793*马航 0.18085661444*事件 0.154642377147*文章
0.395837473329*兰州 0.190211983836*自来水 0.16262052975*兰州市 0.143198591221*超标 0.108131421864*污染
0.313745326268*马航 0.203809537692*失联 0.191234885535*客机 0.151332259499*搜寻 0.139877991006*中国
0.295695916368*XP 0.194932933276*保护 0.175960329027*奇葩 0.174572026459*话费 0.158838794869*支持
0.504311911804*文章 0.139038236085*美剧 0.136395805324*美剧 0.110282549072*姚笛 0.109971497714*出轨
0.279539986024*连城 0.276630044031*宫锁 0.152438057232*琼瑶 0.151728167437*回来 0.139663745275*抄袭
0.272778679811*马航 0.200374113958*MH370 0.176447306034*蓝鳍 0.175710291141*航班 0.174689609055*搜寻
0.27072759469*篇文章 0.188692177639*下载 0.188497553661*阅读 0.177598328829*推荐 0.174484345181*地址
