0.258620817288*李代沫 0.204195901173*依法 0.2004567961*批准逮捕 0.18986278844*朝阳 0.146863696999*检察院
0.254841480287*回来 0.250590109252*爸爸 0.172177942491*奶茶 0.166509447778*文章 0.155881020191*妹妹
0.268920080156*马航 0.211257950195*飞机 0.200960970169*韩国 0.177621381064*失联 0.141239618417*客轮
0.220262513807*集团 0.217260649779*中国 0.20600354571*兰州 0.193245737558*历史 0.163227553146*京东
0.367216662198*兰州 0.193658600491*超标 0.171963617216*兰州市 0.137281021022*威立雅 0.129880099074*事件
0.275015138483*舌尖上的中国 0.195040555708*中国 0.183384887744*美食 0.179293158177*文章 0.167266259888*兰州
0.25593279084*韩国 0.23653771213*沉没 0.216299210782*客轮 0.169738578437*海域 0.121491707811*乘客
0.274667788843*NBA 0.250723812018*欧冠 0.167454775825*时间 0.159372104022*北京 0.147781519292*比赛
0.218290446411*投资 0.203460380382*白银 0.199427668108*朋友 0.19305316662*财富 0.185768338478*选择
0.2568141734*韩国 0.213254868425*马航 0.189337459226*沉没 0.181453816417*客轮 0.159139682533*中国
0.276379333008*连城 0.271270663465*宫锁 0.166950637014*抄袭 0.161211152437*琼瑶 0.124188214076*梅花
0.248603263311*客轮 0.245400080505*韩国 0.172506877206*沉没 0.168287855531*南道珍 0.165201923446*全罗
0.463340597656*NBA 0.165726842177*球队 0.137286821502*篮球 0.126974289032*季后赛 0.106671449634*比赛
0.233091419328*XP 0.231811274419*美剧 0.223810368738*美剧 0.162790672359*中国 0.148496265155*用户
0.430692563927*打车 0.200323148607*司机 0.13586483213*软件 0.130856700901*出租车 0.102262754434*爸爸回来了
0.248964018493*客轮 0.244080892631*沉没 0.236756375986*韩国 0.142497896362*乘客 0.127700816528*事故
0.214824125247*我是歌手 0.202126647564*保护 0.195417041233*明星 0.194590255877*XP 0.193041930079*奇葩
0.294211173147*马航 0.202600429895*客机 0.187754101976*中国 0.177877233952*搜寻 0.13755706103*失联
0.294175075738*韩国 0.27386414613*沉没 0.26265288027*客轮 0.0899346136252*遇难 0.0793732842369*沉船
0.351221245022*文章 0.174428075061*马航 0.168377132198*工作 0.165220023339*篇文章 0.14075352438*人员
