0.30473326406*舌尖上的中国 0.211735806973*播出 0.180328118442*美食 0.171595225317*舌尖 0.131607585209*中国
0.28573063736*马航 0.195828918183*MH370 0.184399675346*搜索 0.175327299246*客机 0.158713469866*残骸
0.263130341549*爸爸回来了 0.18980246351*韩国 0.187926363408*扫黄打非 0.187926363408*浙江 0.171214468124*净网
0.225602107203*韩国 0.224063312381*客轮 0.212049365226*中国 0.183938076833*沉没 0.154347138357*家属
0.250706880543*刘汉 0.198749466499*集团 0.187881521783*法庭 0.187583860952*庭审 0.175078270222*情绪
0.268273792383*NBA 0.190868210797*火箭 0.184467832823*马刺 0.180499408274*季后赛 0.175890755724*热火
0.303607404021*XP 0.194690226771*系统 0.177399667948*用户 0.167733404498*文章 0.156569296762*服务
0.327909837945*文章 0.215447749438*兰州 0.172800634899*发表 0.160085504001*中国 0.123756273716*事件
0.268888071079*韩国 0.232088416151*客轮 0.204515905144*沉没 0.163482453445*失踪 0.131025154181*马航
0.281195742083*京东 0.256238728322*妹妹 0.224994990365*奶茶 0.122881197506*恋情 0.114689341723*消息
0.286959059028*打车 0.229384057375*回来 0.205642849071*爸爸 0.151508429847*妈妈 0.126505604679*司机
0.325969496373*连城 0.321978917943*宫锁 0.121714583374*抄袭 0.121509780703*琼瑶 0.108827221607*电视剧
0.24971226491*马航 0.229948377723*中国 0.178082309649*美剧 0.174108717769*美国 0.168148329948*美剧
0.252586945485*NBA 0.249137684838*季后赛 0.17663113249*热火 0.160965886489*常规赛 0.160678350698*雷霆
0.349894132313*马航 0.200098489154*失联 0.171002608169*搜救 0.151646391326*事件 0.127358379038*客机
0.495892489961*NBA 0.277244319022*视频点播 0.0911730417951*官方 0.0722621478935*火箭 0.0634280013287*最佳
0.342864479617*NBA 0.179109151925*球队 0.165262312539*时间 0.161198538834*比赛 0.151565517085*欧冠
0.274812045116*韩国 0.258143720474*客轮 0.24137348444*沉没 0.113287083042*事故 0.112383666929*失踪
0.216102465085*财富 0.209970554864*篇文章 0.193845056109*下载 0.193845056109*推荐 0.186236867833*阅读
0.213160318571*我是歌手 0.19827643861*奇葩 0.198178661445*歌手 0.197297447284*明星 0.19308713409*XP
