0.652397408385*文章 0.114949975904*中国 0.0816272144261*博客 0.0810155571024*篇文章 0.0700098441818*记录
0.303034455533*韩国 0.272061591193*客轮 0.227401503452*沉没 0.102441483439*乘客 0.095060966383*失踪
0.485692567326*NBA 0.154055664656*常规赛 0.126567018601*视频点播 0.120537188875*季后赛 0.113147560542*热火
0.269056657234*马航 0.247022815776*中国 0.202271815956*事件 0.173942948795*兰州 0.107705762239*报道
0.274397862689*美食 0.270753748402*舌尖 0.25847581059*中国 0.110424877767*放入 0.0859477005524*加入
0.271641270955*美剧 0.271484029305*美剧 0.250431821917*舌尖上的中国 0.128044482793*播出 0.078398395029*中国
0.311528701274*连城 0.30407058053*宫锁 0.131190251573*抄袭 0.126666324495*梅花 0.126544142128*琼瑶
0.236184650952*篇文章 0.208214009934*下载 0.192522794031*阅读 0.192250015589*推荐 0.170828529493*地址
0.446828184312*NBA 0.166916460315*时间 0.146447266182*球员 0.131303337199*报道 0.108504751991*美国
0.316817017094*扫黄打非 0.240177612412*净网 0.216953561024*欧冠 0.117670679912*色情 0.108381129559*决赛
0.281465801657*韩国 0.265599523021*客轮 0.208072409683*沉没 0.128879771835*失踪 0.115982493803*事故
0.239456584191*回来 0.208144918163*刘汉 0.205972674746*妈妈 0.199638102452*爸爸 0.146787720447*法庭
0.436800906805*打车 0.201332226282*司机 0.129892316881*出租车 0.125395938709*文章 0.106578611322*浙江
0.247253111705*爸爸 0.212594794196*儿子 0.195574706682*打车 0.18613674356*孩子 0.158440643856*回来
0.341369886705*马航 0.231872580051*失联 0.163080359073*MH370 0.132141094663*飞机 0.131536079508*客机
0.331648366494*兰州 0.233589995372*NBA 0.188147807412*文章 0.123838642886*活动 0.122775187835*中国
0.204295730402*步行者 0.202672203665*热火 0.201673307093*季后赛 0.196928091508*雷霆 0.194430667331*小牛
0.269508308531*舌尖上的中国 0.186444902525*播出 0.185100233307*开播 0.181863600636*脚步 0.177082955001*舌尖
0.29554888197*XP 0.190580619418*用户 0.177409972226*打车 0.169228063359*系统 0.167232463025*服务
0.239825998232*妹妹 0.224333794511*奶茶 0.18756458409*京东 0.184259642213*韩国 0.164015980954*客轮
