0.257349172297*NBA 0.228064152103*季后赛 0.181592164027*热火 0.168588968629*步行者 0.164405542944*雷霆
0.40858828262*舌尖上的中国 0.205289065355*美食 0.132681719499*记忆 0.130236171631*家乡 0.123204760896*故乡
0.31313346285*舌尖上的中国 0.188865270474*舌尖 0.173116146477*中国 0.171270548235*脚步 0.153614571964*味道
0.447570328181*打车 0.21686390065*司机 0.131456928813*出租车 0.103299091859*嘀嘀 0.100809750498*软件
0.274978984476*NBA 0.208726022841*头条 0.180177937986*文章 0.16886651427*季后赛 0.167250540427*博客
0.320891310512*韩国 0.243733516292*客轮 0.171425543126*沉船 0.134699307751*沉没 0.129250322318*事故
0.339658458668*美剧 0.334838782628*美剧 0.15469234382*文章 0.105438179908*喜欢 0.0653722349767*美国
0.303056186988*文章 0.243029982203*XP 0.161421477864*电脑 0.153103015467*系统 0.139389337479*中国
0.416537071023*文章 0.183157598609*我是歌手 0.168051748526*邓紫棋 0.125378858843*喜欢 0.106874722999*大学
0.287838562913*文章 0.265803171356*篇文章 0.152871750837*阅读 0.150392858506*推荐 0.143093656388*下载
0.346900076191*连城 0.334090158593*宫锁 0.110931598911*剧情 0.108985476815*电视剧 0.0990926894903*袁姗姗
0.339128637759*兰州 0.198169190446*扫黄打非 0.156979864206*净网 0.155836024883*中国 0.149886282706*事件
0.475505698518*NBA 0.173370021049*季后赛 0.120877038621*时间 0.119890685981*常规赛 0.11035655583*北京
0.32462232882*欧冠 0.195566091917*时间 0.17920327096*决赛 0.171285577955*北京 0.129322730349*比赛
0.372623142645*马航 0.184004517231*失联 0.158347017195*中国 0.145035439645*飞机 0.139989883284*客机
0.224442589932*文章 0.200035427474*朋友 0.191899706654*篇文章 0.191899706654*地方 0.191722569286*世界
0.326439421407*回来 0.30914751987*爸爸 0.1502514274*妈妈 0.114032583992*孩子 0.100129047331*打车
0.486579526759*NBA 0.15390746648*时间 0.138911381737*篮球 0.122929059281*美国 0.0976725657428*北京
0.293433696209*舌尖上的中国 0.243699266002*文章 0.165782880653*中国 0.153846964593*喜欢 0.143237192543*希望
0.301568986135*刘汉 0.231412938912*法庭 0.165794741227*调查 0.152880291847*指控 0.148343041879*四川
