0.207955138868*舞蹈 0.201924896591*予疑 0.199000840933*变化 0.196077496724*票房 0.195041626885*纪录
0.204709344247*刘德华 0.200392591462*张馨 0.199607262431*票房 0.199293861357*摒弃 0.195996940504*李晨
0.427310394207*春晚 0.24621276592*直通 0.121750477294*华晨 0.117115417347*宇 0.0876109452329*白举纲
0.207716137252*马 0.203609170066*类型 0.201555686472*分手 0.193715240879*人海战术 0.193403765331*否认
0.225184042609*春晚 0.196889974438*凯特 0.196539286624*王妃 0.193499535613*马苏 0.187887160716*节目
0.545954424674*春晚 0.169881470764*节目 0.10258621889*直通 0.0952001687975*我是歌手 0.0863777168746*中国
0.245880188449*春晚 0.199455662082*节目 0.18627323889*韩性 0.184267270891*类型 0.184123639688*马
0.39582545734*我是歌手 0.201012221605*邓紫棋 0.164842479445*唱 0.124357765062*喜欢 0.113962076548*曹格
0.212393833529*节目 0.204213001407*马苏 0.19552095092*梁朝伟 0.194498514188*韩性 0.193373699956*复工
0.207547087829*纪录 0.202207003231*人海战术 0.200071403898*王妃 0.196297715148*拍戏 0.193876789895*创
0.207459286635*出嫁 0.202523102597*忙 0.197792192928*对不住 0.196215715304*马 0.196009702537*舞蹈
0.21479400775*马 0.205384946332*光荣 0.19880697279*宣布 0.192151529949*破 0.188862543179*票房
0.204092211614*票房 0.202386820938*春晚 0.202386820938*拍戏 0.196504711423*人海战术 0.194629435087*舞蹈
0.503953817521*我是歌手 0.171066416328*曹格 0.121033343741*唱 0.103688723275*喜欢 0.100257699134*张杰
0.210269144063*光荣 0.202811599156*宣布 0.201425366676*紧张 0.197201904898*怀 0.188291985206*林依晨
0.204904134983*纪录 0.202345887077*李晨 0.200411886664*变化 0.199662935524*侵案 0.192675155752*刘德华
0.20411873898*怀 0.202125755297*订制 0.199347699542*纪录 0.198502020468*凯特 0.195905785713*男星
0.206347317677*否认 0.201520888166*分手 0.201388364415*喜剧 0.197553725556*对不住 0.193189704187*订制
0.205850738323*韩性 0.201325465222*纪录 0.199349998336*忙 0.197565495661*冯小刚 0.195908302458*拍戏
0.219261438545*春晚 0.197526646003*冯小刚 0.196980528096*订制 0.195071215876*侵案 0.191160171481*孔令辉
