0.307504164047*NBA 0.292212595891*季后赛 0.141930171988*步行者 0.130943356558*快船 0.127409711517*勇士
0.413924084489*舌尖上的中国 0.202952296893*中国 0.194448942673*美食 0.097706389673*舌尖 0.0909682862721*文章
0.511825480658*文章 0.175265848532*发表 0.109859251771*美国 0.106207942891*博客 0.0968414761488*中国
0.295572945592*韩国 0.233176250633*客轮 0.193487001802*沉没 0.143556857473*沉船 0.1342069445*事故
0.421502201653*打车 0.233870628432*司机 0.131183669324*出租车 0.113442049749*奶茶 0.100001450842*妹妹
0.267265405823*文章 0.250238899478*同桌的你 0.226133303354*步步惊情 0.135451149528*同桌 0.120911241817*电影
0.254666683108*下载 0.207218217986*文章 0.184816513581*篇文章 0.179371699635*百度 0.173926885689*推荐
0.343996415844*舌尖上的中国 0.183116417003*舌尖 0.177993304582*脚步 0.149054635143*中国 0.145839227427*美食
0.419958506097*NBA 0.236837877976*季后赛 0.150160518032*比赛 0.10377007664*主场 0.089273021254*北京
0.246458297935*XP 0.2276588149*文章 0.192377074269*京东 0.167396744636*打车 0.166109068261*手机
0.500694174793*兰州 0.133347497674*事件 0.132151465643*城市 0.117401624992*发生 0.116405236899*中国
0.227160037022*NBA 0.199456439759*雷霆 0.193305253067*实力 0.191350338819*篮球 0.188727931333*切换
0.381981832824*美剧 0.379166608333*美剧 0.0822879466392*时间 0.0809886824932*感觉 0.0755749297107*美国
0.343407912137*欧冠 0.342363872882*欧冠 0.112428927328*联赛 0.106305997105*切尔西 0.0954932905477*比赛
0.289737647795*连城 0.287501747145*宫锁 0.166778691684*电视剧 0.134809719202*文章 0.121172194174*剧情
0.296399690947*马航 0.21292255813*中国 0.18907220831*事件 0.152211998668*行动 0.149393543945*国家
0.424655046507*NBA 0.180922655474*时间 0.138156287688*球员 0.136652931193*北京 0.119613079138*詹姆斯
0.320016579182*马航 0.200067170545*失联 0.175519119423*飞机 0.155657605308*客机 0.148739525543*MH370
0.325531320182*回来 0.285447034591*爸爸 0.157724678062*打车 0.127101166813*妈妈 0.104195800352*回家
0.314671043105*韩国 0.218938263262*客轮 0.190218661003*沉没 0.143601100545*沉船 0.132570932085*刘汉
