0.348263217982*NBA 0.276279098195*季后赛 0.165676312448*热火 0.107175824661*小牛 0.102605546714*雷霆
0.204709345481*兰州大学 0.201421234264*颗粒 0.200254612631*流产 0.199193867839*纳米 0.194420939785*环境
0.365666431752*文章 0.191467865733*发表 0.179787026541*中国 0.136617900971*马航 0.126460775003*事件
0.307534285956*直播 0.19144608337*体育 0.185336068924*NBA 0.158278173481*白银 0.15740538827*黄金
0.340149463094*打车 0.175519849493*京东 0.171561152325*消息 0.16232313152*美国 0.150446403568*司机
0.505138513267*NBA 0.147905692404*时间 0.144564481154*北京 0.108969942093*季后赛 0.0934213710824*官方
0.263050190278*马航 0.195482874991*航班 0.1882946794*飞往 0.179924606879*客机 0.173247648453*吉隆坡
0.360976954541*文章 0.191430680042*XP 0.159433877696*用户 0.14858469424*提供 0.139573793481*服务
0.219702593971*篇文章 0.209401982956*下载 0.195022438205*推荐 0.19039071579*阅读 0.185482269078*地址
0.290607351138*文章 0.219844431828*姚笛 0.181002908948*出轨 0.16242940455*朋友 0.146115903535*马伊琍
0.435165482144*文章 0.178615051889*连城 0.170283259869*宫锁 0.116473407304*喜欢 0.0994627987936*电视剧
0.357769119654*舌尖上的中国 0.200097118005*舌尖 0.183217216607*美食 0.147925615752*中国 0.110990929982*脚步
0.291634893602*韩国 0.232872068972*客轮 0.188868368171*沉没 0.155157372431*沉船 0.131467296824*事故
0.317001177581*美剧 0.316638719219*美剧 0.152604236075*观看 0.126837806969*高清 0.0869180601556*爱奇艺
0.310026556329*NBA 0.233850471783*火箭 0.165364597594*开拓者 0.152640962691*篮球 0.138117411602*实力
0.356556943926*步步惊情 0.18847704238*电视剧 0.157808765969*开播 0.151109394656*爱情 0.14604785307*发布会
0.32520128888*马航 0.230313638759*失联 0.173991190203*MH370 0.151659524476*搜索 0.118834357682*飞机
0.246272320434*回来 0.215703120427*打车 0.212699836732*爸爸 0.199828433706*同桌的你 0.1254962887*同桌
0.384324436261*兰州 0.206609840323*中国 0.165050679174*事件 0.123887772635*文章 0.120127271608*兰州市
0.45779165136*欧冠 0.182840861929*曼联 0.130469012758*比赛 0.124923531145*决赛 0.103974942807*竞技风暴
