0.357644628572*NBA 0.183871996598*篮球 0.17362373365*快船 0.149910318054*实力 0.134949323127*球队
0.340189829359*马航 0.195068570117*搜寻 0.18454559574*搜索 0.155803878885*失联 0.124392125899*飞机
0.223760999996*马航 0.207730792359*客机 0.193932837763*调查 0.193374984855*MH370 0.181200385028*国际
0.339465890422*欧冠 0.336215385681*欧冠 0.116323224501*切尔西 0.108962114764*球队 0.0990333846321*曼联
0.224601677023*韩国 0.213024412359*客轮 0.202604832607*观看 0.186396828292*文章 0.173372249719*沉没
0.275715473093*回来 0.238987896002*爸爸 0.181456181259*打车 0.16322098571*孩子 0.140619463936*扫黄打非
0.352305050076*韩国 0.182878241125*中国 0.160018782604*电视台 0.152847301287*现场 0.151950624908*观看
0.465100316989*文章 0.150702489695*姚笛 0.130161781689*出轨 0.127122550322*网易 0.126912861304*游戏
0.372097977587*步步惊情 0.190371981391*浙江 0.190172458655*卫视 0.125607113502*步步 0.121750468865*吴奇隆
0.473072677652*NBA 0.166462281303*直播 0.126629780968*季后赛 0.123187652507*体育 0.11064760757*官方
0.29220821922*美剧 0.285770996766*美剧 0.159313640162*文章 0.13477308948*同桌的你 0.127934054372*喜欢
0.290065861832*韩国 0.218747796585*客轮 0.174088925053*沉船 0.162067866971*沉没 0.155029549559*事故
0.287180704875*马航 0.216348970875*美国 0.175690364464*客机 0.164562846978*报道 0.156217112809*中国
0.220319464419*下载 0.19922058301*推荐 0.198457996417*篇文章 0.193966846292*地址 0.188035109861*阅读
0.316017057743*兰州 0.230297832528*事件 0.164922474051*公司 0.146948792873*政府 0.141813842806*兰州市
0.332888054818*马航 0.191522427589*失联 0.160231117319*连城 0.157790069079*客机 0.157568331195*宫锁
0.538587333639*NBA 0.133937704846*季后赛 0.124782634196*官方 0.104504680172*火箭 0.098187647148*雷霆
0.407597406605*文章 0.161752720558*XP 0.148879592575*中国 0.143480676137*系统 0.138289604126*手机
0.3738423343*舌尖上的中国 0.212745759875*舌尖 0.186631890203*美食 0.131004240125*中国 0.0957757754965*脚步
0.278658318882*打车 0.235159021615*文章 0.202452905573*兰州 0.14374567876*软件 0.13998407517*发表
