0.303981044802*文章 0.189651031433*中国 0.186128653229*事件 0.160661489809*系统 0.159577780727*XP
0.287960915699*欧冠 0.284429667727*欧冠 0.154200231658*半决赛 0.148315036876*拜仁 0.12509414804*皇马
0.342489088393*打车 0.200935808085*软件 0.156430379973*移动 0.156310383061*支付 0.143834340487*使用
0.32368304091*欧冠 0.314906550645*欧冠 0.145316216832*切尔西 0.131639472589*半决赛 0.0844547190242*比赛
0.408227509913*NBA 0.240879633249*季后赛 0.121548098798*篮网 0.1185363437*篮球 0.11080841434*球队
0.308139494704*NBA 0.185783424119*时间 0.172299263162*最佳 0.167804427662*官方 0.165973390353*北京
0.413520784193*步步惊情 0.166237926934*卫视 0.158014146537*浙江 0.142759084509*步步 0.119468057828*剧情
0.484378760029*文章 0.16167189764*中国 0.130435561745*兰州 0.117138819626*研究 0.10637496096*事件
0.338031986239*马航 0.185486014509*失联 0.165605774694*客机 0.163331886034*MH370 0.147544338524*飞机
0.391573600589*兰州 0.167359639011*事件 0.163015232694*兰州市 0.149603674651*公司 0.128447853056*市民
0.416949115023*文章 0.218741557364*打车 0.128718973235*朋友 0.123454541704*回家 0.112135812674*需要
0.209852239917*下载 0.209499500186*推荐 0.199842004486*篇文章 0.195627462203*阅读 0.185178793208*百度
0.34578090738*回来 0.315761302482*爸爸 0.155110970285*妈妈 0.0941751488672*孩子 0.0891716709861*篇文章
0.265826141163*美剧 0.265067007611*美剧 0.213754210535*同桌的你 0.136633142808*电影 0.118719497882*文章
0.275891998829*韩国 0.223702608248*客轮 0.200344498459*沉没 0.165433789977*沉船 0.134627104488*事故
0.309220484524*扫黄打非 0.26339667144*净网 0.153758978944*文章 0.137474578515*信息 0.136149286576*行动
0.416820145761*文章 0.189927395054*中国 0.166864674591*篇文章 0.120400906368*美国 0.105986878226*内容
0.484879498732*NBA 0.147675134622*美国 0.137210193935*比赛 0.118315083417*巨星 0.111920089293*球员
0.372062190813*舌尖上的中国 0.230692579505*舌尖 0.166092720848*美食 0.133103886926*中国 0.0980486219081*脚步
0.508948460563*文章 0.130009034137*频道 0.128517100715*游戏 0.120418674377*下载 0.112106730208*内容
