0.355717744078*NBA 0.246564739011*火箭 0.137120493581*篮球 0.132669370024*球队 0.127927653305*开拓者
0.347199495832*马航 0.201458463256*失联 0.170141142979*客机 0.142843925928*MH370 0.138356972005*飞机
0.309623566571*欧冠 0.304770828177*欧冠 0.164310127403*皇马 0.129301759596*拜仁 0.0919937182524*比赛
0.234235768685*欧冠 0.227529126999*欧冠 0.19643969841*拜仁 0.182148875914*皇马 0.159646529991*半决赛
0.295585623759*刘汉 0.202465805553*表示 0.172291297824*四川 0.169371140643*官方 0.160286132222*中国
0.428799472543*步步惊情 0.159069790803*卫视 0.151648179845*浙江 0.131265808771*步步 0.129216748038*剧情
0.320553570846*爸爸 0.301867756242*回来 0.143325364594*妈妈 0.138317006567*儿子 0.0959363017515*孩子
0.506677326992*兰州 0.164029191146*天气 0.112231111796*官方 0.110175447707*发布 0.106886922359*NBA
0.391475924299*打车 0.178178773158*软件 0.160150024358*司机 0.137907367589*出租车 0.132287910596*使用
0.206010413927*切换 0.20171722633*无价 0.199823187305*实力 0.196287664027*安踏 0.196161508412*篮球
0.327040791397*扫黄打非 0.256566746328*净网 0.18247603511*行动 0.134340532425*全国 0.0995758947411*游戏
0.291044147166*韩国 0.223699450773*客轮 0.184290734165*沉没 0.174573519945*沉船 0.12639214795*事故
0.403739163221*NBA 0.266638458648*季后赛 0.124953842899*火箭 0.103693022344*开拓者 0.100975512887*热火
0.487592890674*文章 0.157733957307*中国 0.142420427981*发表 0.122052827254*记录 0.0901998967841*消费
0.421787530604*文章 0.18083070476*篇文章 0.145260121583*希望 0.12978167084*时间 0.122339972214*喜欢
0.209999798073*信息 0.209449471026*扫黄打非 0.200366965067*色情 0.19440378273*传播 0.185779983104*节目
0.569427353349*文章 0.130052058786*发表 0.119673195495*手机 0.091838946702*活动 0.0890084456672*发布
0.212440433726*下载 0.209084515835*篇文章 0.197065595808*推荐 0.191914472514*地址 0.189494982116*阅读
0.359088523711*舌尖上的中国 0.212646311605*舌尖 0.183849437849*美食 0.156179790013*中国 0.0882359368229*脚步
0.265933571435*同桌的你 0.22179474579*美剧 0.221611580284*美剧 0.15402960052*同桌 0.136630501971*中国
