0.360078246181*NBA 0.169243995937*篮球 0.158496416652*切换 0.156871688379*实力 0.155309652851*季后赛
0.33232267778*兰州 0.326097060365*打车 0.127545354728*司机 0.114252946706*软件 0.0997819604222*城市
0.236343307352*宫锁 0.232208669239*连城 0.225244493303*中国 0.155169302573*美剧 0.151034227533*文章
0.418039625418*文章 0.225522739964*发表 0.144802460135*内容 0.127063316019*希望 0.0845718584636*篇文章
0.275838980268*爸爸回来了 0.257069318444*爸爸 0.207210179505*回来 0.153299422976*孩子 0.106582098806*妈妈
0.389192865673*文章 0.203891893206*篇文章 0.191112376087*发现 0.112112737685*同桌的你 0.10369012735*学生
0.368038720989*舌尖上的中国 0.248983203619*舌尖 0.162538156445*美食 0.131775658623*中国 0.088664260324*味道
0.453284928724*同桌的你 0.223474742219*同桌 0.124356139152*青春 0.112972900483*电影 0.0859112894217*现实
0.280489715285*文章 0.200350736211*兰州 0.189832237357*事件 0.172051477983*中国 0.157275833163*马航
0.241385811397*打车 0.197831922771*官员 0.193766956724*遗落 0.187185549075*江苏 0.179829760032*出租车
0.355655138863*京东 0.304003386859*房事 0.119851781929*商城 0.116142300738*木床 0.104347391611*开放平台
0.312859846904*步步惊情 0.209290180251*卫视 0.193548410708*浙江 0.174279720628*爸爸回来了 0.110021841509*节目
0.240986520187*下载 0.19576268714*篇文章 0.191688518411*地址 0.190364460253*推荐 0.181197814009*百度
0.324312674988*欧冠 0.233993703818*打车 0.155678811539*拜仁 0.148437831271*皇马 0.137576978384*半决赛
0.255401186823*韩国 0.22242807416*马航 0.199693769966*客轮 0.179700248842*沉没 0.142776720208*沉船
0.2676454887*扫黄打非 0.187524031255*全国 0.18704702826*传播 0.182563980256*信息 0.17521947153*色情
0.405258897834*NBA 0.207501320372*美国 0.132002380464*文章 0.132002380464*中国 0.123235020865*北京
0.217128186963*步步惊情 0.209571891774*支持 0.202014719782*文章 0.201511434398*NBA 0.169773767082*关注
0.395351379345*韩国 0.171911693948*孩子 0.15924003179*中国 0.137276414715*沉船 0.136220480202*爸爸回来了
0.334341415295*同桌的你 0.209358000335*步步惊情 0.180602907045*电影 0.139110022748*喜欢 0.136587654577*现实
