0.366440583231*马航 0.211115485282*失联 0.162933244476*客机 0.136517692552*MH370 0.122992994459*中国
0.267122730546*回来 0.258259030567*爸爸 0.202457593396*文章 0.14786509632*妈妈 0.124295549171*喜欢
0.438194192996*NBA 0.239900673533*季后赛 0.13505807405*火箭 0.10825569417*开拓者 0.0785913652512*热火
0.283228411171*京东 0.214509305565*品牌 0.196416036901*史密斯 0.19328471786*巨匠 0.112561528503*安全
0.434532323326*文章 0.172036510939*发表 0.148389734151*扫黄打非 0.127440444247*中国 0.117600987337*信息
0.317321641282*京东 0.299348108944*房事 0.147151492026*商城 0.123292163919*开放平台 0.112886593829*木床
0.410327542039*欧冠 0.16858990294*皇马 0.143681834609*拜仁 0.142108847374*决赛 0.135291873039*半决赛
0.427797767765*同桌的你 0.155539825165*现实 0.147007465395*青春 0.135999892607*电影 0.133655049068*同桌
0.36477529185*爸爸回来了 0.170266184401*爸爸 0.165947023023*节目 0.156193714669*浙江 0.142817786056*吴尊
0.515041961341*文章 0.146950301302*马伊琍 0.134172274782*西安 0.109852418331*上海 0.0939830442454*姚笛
0.292131016456*韩国 0.215330976677*客轮 0.206346850458*沉船 0.154470766808*事故 0.131720389602*学生
0.268055018472*兰州 0.208767379186*篇文章 0.193675969278*时间 0.19331663583*文章 0.136184997234*同桌的你
0.492353453989*打车 0.178176508012*司机 0.127746299075*软件 0.113513280363*出租车 0.0882104585605*发现
0.383799860014*舌尖上的中国 0.199036668287*舌尖 0.172329369006*美食 0.165411605728*中国 0.079422496964*食物
0.259847962443*NBA 0.203069989132*火箭 0.188545327162*篮球 0.177211743743*实力 0.17132497752*无价
0.292314145265*美剧 0.285395518637*美剧 0.176674355783*中国 0.127749950874*精神 0.117866029441*发现
0.372873419697*文章 0.228915376731*篇文章 0.151066496166*中国 0.133457831666*发表 0.11368687574*韩国
0.246347221268*中国 0.24462820392*文章 0.23317075093*舌尖上的中国 0.141507399283*美国 0.134346424598*NBA
0.426048515403*同桌的你 0.155495881013*回来 0.15088284636*记得 0.140570507878*喜欢 0.127002249345*同桌
0.229912983788*下载 0.203842003306*地址 0.203079755232*推荐 0.182726000947*阅读 0.180439256726*篇文章
