0.227843163776*下载 0.214227404823*地址 0.19016312664*推荐 0.188637173072*篇文章 0.179129131689*阅读
0.359420558484*舌尖上的中国 0.212605256939*舌尖 0.183406608796*美食 0.172279730069*中国 0.0722878457117*食物
0.358600305021*马航 0.191619157875*失联 0.176247828158*文章 0.146136635504*中国 0.127396073442*MH370
0.320062912739*欧冠 0.319323147348*欧冠 0.138120734465*切尔西 0.123337310439*利物浦 0.0991558950092*比赛
0.29417626087*美剧 0.290159559047*美剧 0.14953192898*爆炸 0.143641704568*禁播 0.122490546536*下架
0.450258715458*打车 0.196917781444*司机 0.147519139369*出租车 0.11262263575*软件 0.0926817279786*师傅
0.295932807986*兰州 0.229898551532*中国 0.21002722922*舌尖上的中国 0.146133507816*北京 0.118007903447*舌尖
0.320473887029*文章 0.291095666339*同桌的你 0.148912636386*篇文章 0.129850776575*喜欢 0.109667033671*感觉
0.354448820419*文章 0.193757662755*马伊琍 0.183096647805*离婚 0.17135369754*西安 0.097343171481*头条
0.444575137644*同桌的你 0.169414128513*现实 0.133616827954*青春 0.13004852945*同桌 0.122345376439*电影
0.461593927331*文章 0.185112567489*中国 0.132336696612*发表 0.110675404935*美剧 0.110281403632*篇文章
0.251392579774*美剧 0.250696163679*美剧 0.192797457261*爆炸 0.166733220386*下架 0.138380578901*傲骨
0.351901116572*京东 0.241173452585*文章 0.146951412691*手机 0.135259581002*商城 0.12471443715*房事
0.380500772604*NBA 0.245388679745*季后赛 0.148151412898*热火 0.12516109701*雷霆 0.100798037743*灰熊
0.322950287361*回来 0.279812908353*爸爸 0.172885063665*妈妈 0.128747978152*打车 0.0956037624687*回家
0.383816539681*NBA 0.213838177195*时间 0.163171315468*北京 0.124217891573*球员 0.114956076083*官方
0.325726350549*爸爸回来了 0.240167414426*节目 0.149805452423*吴尊 0.146503319102*舌尖上的中国 0.1377974635*中国
0.279457808463*韩国 0.245587058597*沉船 0.171071520765*事件 0.158572789796*辞职 0.14531082238*总理
0.502607783493*NBA 0.175504917819*篮球 0.108664903845*老板 0.106797941039*美国 0.106424453805*球员
0.364041965507*NBA 0.168539785054*雷吉 0.167790991808*雷霆 0.150188268711*季后赛 0.14943898892*绝杀
