0.305003587889*文章 0.248512854492*篇文章 0.1558477817*阅读 0.153618079329*中国 0.137017696589*发表
0.223330513873*下载 0.206100564172*地址 0.199175676721*推荐 0.187304214143*篇文章 0.18408903109*阅读
0.270200788093*文章 0.252597678459*美国 0.166490036912*京东 0.160127804305*NBA 0.150583692232*老板
0.290018004191*美剧 0.288472679589*美剧 0.153585026585*下架 0.151421993785*中国 0.116502295851*爆炸
0.208727072209*张宝强 0.198820365206*亚军 0.198018597466*选手 0.197961437509*联赛 0.19647252761*比赛
0.506458182368*文章 0.165809582356*中国 0.116295706107*人民日报 0.108519786662*投资 0.102916742507*穷人
0.284017080519*时间 0.235098342779*文章 0.165994117177*内容 0.158395064461*篇文章 0.156495395065*喜欢
0.324778003347*NBA 0.256135623391*季后赛 0.153783709037*热火 0.1391182344*火箭 0.126184429826*开拓者
0.447277761017*欧冠 0.145009584061*切尔西 0.144243925778*决赛 0.134032101271*皇马 0.129436627873*比赛
0.325052759272*NBA 0.232621575864*火箭 0.15890939595*篮球 0.149347482232*开拓者 0.134068786683*安踏
0.48410278777*NBA 0.153269407655*季后赛 0.127447233606*球员 0.12564253152*快船 0.109538039449*时间
0.31163212788*兰州 0.208537599688*比赛 0.167983219624*选手 0.160725971318*亚军 0.15112108149*西安
0.227623701181*宫锁 0.226902722728*连城 0.226799817399*琼瑶 0.177052304118*侵权 0.141621454575*抄袭
0.345647546251*舌尖上的中国 0.21209086138*舌尖 0.169215420349*美食 0.141561053173*打车 0.131485118847*中国
0.566124829506*兰州 0.131809252977*兰州市 0.11624882835*比赛 0.109384215593*甘肃 0.0764328735734*活动
0.442481790596*同桌的你 0.14309119327*现实 0.13993471711*青春 0.139818076434*喜欢 0.13467422259*电影
0.209439914151*直播 0.206568494587*下载 0.20154351035*NBA 0.19921035962*体育 0.183237721293*地址
0.306388588976*马航 0.211924962703*韩国 0.171853639074*失联 0.157395099242*沉船 0.152437710005*事件
0.361109203844*文章 0.198535454529*爸爸回来了 0.154824187298*孩子 0.143411491975*节目 0.142119662355*娱乐
0.310335977789*美剧 0.308244152432*美剧 0.191807578184*下架 0.127551625145*爆炸 0.062060666451*贤妻
