0.394234906411*文章 0.213320962163*希望 0.171017809197*发表 0.114763437423*北京 0.106662884806*琼瑶
0.219883691853*琼瑶 0.21113627274*侵权 0.201855955924*提告 0.188224357454*抄袭 0.178899722028*于正
0.480861798878*打车 0.177275677945*司机 0.137815433826*出租车 0.115408386576*软件 0.0886387027754*京东
0.431635839926*NBA 0.167085531813*球队 0.150434448401*热火 0.127108638283*篮球 0.123735541578*季后赛
0.253364898742*回来 0.219711322616*爸爸 0.186859118256*篇文章 0.177243758349*喜欢 0.162820902037*时间
0.297889321177*韩国 0.211907224154*沉船 0.168969100394*沉没 0.165756841332*事故 0.155477512944*客轮
0.496681824214*新疆 0.138261298697*中国 0.133971152969*部分 0.118370387419*甘肃 0.112715336701*兰州
0.265238920847*兰州 0.198294484239*联赛 0.189586529469*张宝强 0.173802954585*比赛 0.17307711086*全国
0.215769738809*勇士 0.202597462171*频道 0.199628884651*游戏 0.196846012779*文章 0.18515790159*网易
0.358317445257*NBA 0.265641022292*季后赛 0.128194364369*小牛 0.125845442611*马刺 0.122001725472*步行者
0.530869838988*文章 0.145750094711*发表 0.118754418238*查看 0.110569531182*原文 0.0940561168806*博客
0.335139953704*中国 0.238963933585*文章 0.168680871616*美国 0.144267293518*国家 0.112947947578*扫黄打非
0.27377005037*欧冠 0.273367459002*欧冠 0.151714577239*皇马 0.151446292991*拜仁 0.149701620397*半决赛
0.238938593787*连城 0.238057866502*宫锁 0.230031120253*琼瑶 0.155246895383*侵权 0.137725524076*梅花
0.315959185786*舌尖上的中国 0.229303919898*舌尖 0.196755899688*美食 0.179905965138*中国 0.0780750294904*吃货
0.232633608336*手机 0.229170508*活动 0.195152028298*京东 0.177429406741*参与 0.165614448625*文章
0.597466832904*文章 0.109886044664*发表 0.109656115472*凤凰 0.0917254326729*凤凰网 0.091265574288*马伊琍
0.29089100986*美剧 0.268354172478*美剧 0.163569375553*中国 0.156831318142*爸爸回来了 0.120354123968*孩子
0.229439253468*下载 0.19833399366*地址 0.193371299755*篇文章 0.191333058338*推荐 0.187522394778*阅读
0.329062954012*美剧 0.328459785311*美剧 0.136869719692*爆炸 0.133749492195*下架 0.0718580487906*禁播
