0.51258877906*我是歌手 0.127908857222*歌 0.126939871034*唱 0.117734725624*节目 0.114827767061*歌曲
0.310370788096*春晚 0.217287051911*直通 0.164096074269*小白 0.157713422777*小白 0.150532662948*小白
0.30023906655*我是歌手 0.205205642829*春晚 0.184020001484*歌曲 0.168887017363*节目 0.141648271774*音乐
0.365707564204*我是歌手 0.183674140346*节目 0.17714362949*歌手 0.147757374353*参加 0.125717291607*现场
0.369128174709*我是歌手 0.26411695086*邓紫棋 0.165048936481*唱 0.105211955383*存在 0.0964939825665*歌
0.46317372633*我是歌手 0.184076208135*唱 0.130995889805*周笔畅 0.117297939032*歌手 0.104456236697*邓紫棋
0.361896199328*我是歌手 0.287468324351*邓紫棋 0.124958617706*唱 0.114033353621*喜欢 0.111643504994*存在
0.247892406773*直通 0.211025151738*春晚 0.206109469836*华晨 0.19030916636*宇 0.144663805292*李琦
0.276582864346*我是歌手 0.213039440864*张杰 0.177227164059*张 0.176125213996*杰出 0.157025316734*战
0.38013173756*春晚 0.267692205923*直通 0.124431520292*淘汰 0.119294586799*唱 0.108449949426*实力
0.327396970929*我是歌手 0.289320051919*曹格 0.134935132581*喜欢 0.125829534815*事情 0.122518309757*淘汰
0.345752436387*春晚 0.175210877597*我是歌手 0.170551398683*现场 0.156572383124*舞台 0.15191290421*音乐
0.447334929538*春晚 0.232196263456*直通 0.147945473939*男 0.0897721806474*央视 0.08275115242*李代沫
0.400073828609*春晚 0.243910733985*直通 0.120991060503*华晨 0.117512188451*晋级 0.117512188451*宇
0.501945565751*春晚 0.155274546973*马 0.137696867881*央视 0.102541509698*主持人 0.102541509698*主持
0.305340548827*春晚 0.226070782021*节目 0.201996227309*卫视 0.14445258384*我是歌手 0.122139858003*综艺
0.465255390876*春晚 0.16894837004*全国 0.126844149055*晚会 0.124212816479*录制 0.11473927355*节目
0.405756798282*我是歌手 0.20803250013*唱 0.169929462644*张杰 0.109170351054*挑战 0.10711088789*演唱会
0.466700706563*春晚 0.189070663861*节目 0.12311782321*马 0.122489783514*郭德纲 0.0986210228519*无缘
0.407382879918*我是歌手 0.171696786801*淘汰 0.163892924604*曹格 0.156608667834*唱 0.100418740843*张杰
