0.249823663276*活动 0.218859778725*NBA 0.202498263496*参加 0.197044297167*参与 0.131773997337*手机
0.314915552763*欧冠 0.309293954819*欧冠 0.129143957628*皇马 0.125789632409*拜仁 0.120856902382*半决赛
0.348505238225*美剧 0.340967738256*美剧 0.159321766731*中国 0.0814737895148*文章 0.0697314672735*禁播
0.258304532266*欧冠 0.253601014328*欧冠 0.171092641395*皇马 0.165213243972*拜仁 0.151788568039*决赛
0.232301075603*欧冠 0.221874599706*欧冠 0.197580961327*皇马 0.174538764008*C罗 0.173704599356*拜仁
0.260068437481*欧冠 0.245477457295*欧冠 0.195414278982*皇马 0.167833018011*拜仁 0.131206808232*决赛
0.313264281569*欧冠 0.302076414887*欧冠 0.144646510784*皇马 0.121737745735*决赛 0.118275047025*文章
0.295264772996*欧冠 0.267189550712*欧冠 0.17297190967*半决赛 0.145610512235*拜仁 0.118963254387*马德里
0.256684926707*下载 0.238989064678*地址 0.175875035282*推荐 0.1651593592*篇文章 0.163291614133*阅读
0.328905116734*步步惊情 0.187143540253*宫锁 0.186802961549*连城 0.165943258875*卫视 0.131205122589*金玉良缘
0.313856967836*打车 0.223686939766*回来 0.19637214649*爸爸 0.149124949598*文章 0.116958996309*回家
0.439618998233*步步惊情 0.223126206835*吴奇隆 0.1233230532*张晓 0.109604192111*机会 0.104327549621*孙艺洲
0.349124033122*NBA 0.197283343724*雷霆 0.189759940325*季后赛 0.159666619022*灰熊 0.104166063806*篮球
0.264576374627*马航 0.205807663642*MH370 0.183913464884*参与 0.182761196405*结束 0.162941300442*搜索
0.272965632326*美剧 0.260594198943*美剧 0.167412948326*网站 0.15583096672*日本 0.143196253685*韩剧
0.229981097748*NBA 0.211917533279*斯特林 0.203000019202*老板 0.180546123361*快船 0.174555226409*禁赛
0.271368603111*文章 0.219613551824*篇文章 0.184612237611*时间 0.166364660473*喜欢 0.158040946981*内容
0.254942851734*韩国 0.236668068022*文章 0.186039793583*中国 0.181845560776*京东 0.140503725885*沉船
0.277336136291*舌尖上的中国 0.221766931509*中国 0.208322562313*美食 0.173623855334*舌尖 0.118950514552*新疆
0.307487502473*欧冠 0.280766170362*欧冠 0.156944556832*喜欢 0.128341852331*时间 0.126459918002*皇马
