0.235751498464*马航 0.210345513105*NBA 0.201876514083*韩国 0.17990426217*沉船 0.172122212178*老板
0.290127807439*欧冠 0.287618902531*欧冠 0.152555941318*半决赛 0.148469671741*切尔西 0.12122767697*决赛
0.514225523469*京东 0.219823199666*房事 0.0956834486463*希望 0.0856245464841*大床 0.0846432817337*时间
0.252863166001*步步惊情 0.225858678243*吴奇隆 0.179214883955*孙艺洲 0.177578207189*主演 0.164485064612*演员
0.293611077882*加油 0.19333791342*遭遇 0.173077445123*生命 0.171360360218*火车站 0.168613203357*新疆
0.293153820127*欧冠 0.273835632777*欧冠 0.157925900142*皇马 0.150213047436*决赛 0.124871599517*拜仁
0.304644183231*欧冠 0.300682468858*欧冠 0.170765249091*半决赛 0.113661744272*决赛 0.110246354547*足球
0.377238726855*爸爸回来了 0.19487290285*爸爸 0.170071110527*吴尊 0.134014960184*李小鹏 0.123802299585*回来
0.291785731912*中国 0.258488927473*舌尖上的中国 0.193472304758*舌尖 0.179126463958*美食 0.0771265718993*食物
0.468771442343*NBA 0.154227508577*比赛 0.132331036699*球队 0.130427098396*季后赛 0.114242913985*公牛
0.350982052438*美剧 0.347842538223*美剧 0.12850655304*中国 0.0937642675856*韩国 0.0789045887137*新疆
0.241350477615*宫锁 0.235484536614*连城 0.215051544619*步步惊情 0.156787854557*金玉良缘 0.151325586594*发现
0.243716297978*乌鲁木齐 0.232485040635*南站 0.227615257671*火车 0.148366588291*新疆 0.147816815425*受伤
0.335037800749*回来 0.30531648931*爸爸 0.169914580872*妈妈 0.105516225102*回家 0.0842149039669*喜欢
0.258977135702*欧冠 0.244245198652*欧冠 0.197102714283*决赛 0.151310669386*马德里 0.148364281976*皇马
0.214181323145*新疆 0.211122658427*习近平 0.206951751992*乌鲁木齐 0.185749191906*火车 0.18199507453*南站
0.373745574303*NBA 0.179003095939*火箭 0.171589827799*季后赛 0.147068891685*篮球 0.128592610274*实力
0.411386991075*步步惊情 0.161947574134*转发 0.155902887846*电视剧 0.137449178493*搜狐 0.133313368452*剧情
0.395863710346*步步惊情 0.201317998326*张晓 0.146044896649*卫视 0.141146672627*浙江 0.115626722052*殷正
0.345297229169*NBA 0.205385443283*喜欢 0.199049769686*京东 0.12671769733*支持 0.123549860532*中国
