0.488352298237*韩国 0.149432873594*爸爸回来了 0.147267071827*沉船 0.118031230746*肌肤 0.0969165255971*微信
0.329262095194*NBA 0.225499648789*老板 0.18684313301*斯特林 0.159037605668*快船 0.0993575173395*时间
0.287819498452*NBA 0.19409611132*连城 0.19040641322*宫锁 0.184502375852*球队 0.143175601156*快船
0.331213700039*美剧 0.326977470675*美剧 0.145003243407*中国 0.133449635726*京东 0.0633559501535*步步惊情
0.322848185035*NBA 0.237526824083*季后赛 0.167510387584*雷霆 0.13870858984*灰熊 0.133406013458*时间
0.314582875666*NBA 0.269304962401*季后赛 0.155087301683*雷霆 0.1305661037*灰熊 0.13045875655*火箭
0.537031109816*NBA 0.203317591309*篮球 0.101467769239*球员 0.0798633994788*美国 0.0783201301571*球队
0.422766214835*爸爸回来了 0.236610513924*吴尊 0.123674778143*李小鹏 0.116042114262*贾乃亮 0.100906378836*节目
0.30157213095*舌尖上的中国 0.219192912048*舌尖 0.210984231381*美食 0.157432278384*中国 0.110818447236*时节
0.364792191194*回来 0.341939227028*爸爸 0.160677286883*妈妈 0.0690869333432*孩子 0.0635043615518*京东
0.304714678774*步步惊情 0.280469302105*新疆 0.157930494728*回来 0.13434019003*问题 0.122545334363*朋友
0.29860208893*回来 0.255585719085*爸爸 0.189385530131*喜欢 0.144134981371*感觉 0.112291680483*步步惊情
0.524584309901*步步惊情 0.13683642847*步步 0.12138271385*吴奇隆 0.109207126293*剧情 0.107989421486*张晓
0.314134975106*欧冠 0.307155565244*欧冠 0.154886641726*决赛 0.114420128829*半决赛 0.109402689095*皇马
0.398001276762*NBA 0.184642941631*下载 0.15709385415*美国 0.130130963729*凤凰 0.130130963729*版本
0.39320192868*新疆 0.219715909728*乌鲁木齐 0.150655291097*暴恐 0.118352665479*习近平 0.118074205017*火车
0.310199959535*欧冠 0.29172171037*欧冠 0.164435448542*决赛 0.140864275404*皇马 0.0927786061489*马德里
0.257071986769*NBA 0.193246002341*篮球 0.185289921227*实力 0.182284433321*无价 0.182107656342*安踏
0.292890582727*新疆 0.235399881798*美食 0.168402707536*舌尖上的中国 0.165686626316*发现 0.137620201625*舌尖
0.278847208564*马航 0.220014894841*韩国 0.20136478313*沉船 0.151781896417*中国 0.147991217047*飞机
