0.413171203178*NBA 0.192044673817*季后赛 0.150556638435*火箭 0.128743368589*比赛 0.11548411598*大战
0.276202235311*NBA 0.233571210199*季后赛 0.168457020858*雷霆 0.166855785813*小牛 0.154913747819*步行者
0.496930795601*NBA 0.158397014712*中国 0.144121673094*季后赛 0.103334047517*节目 0.0972164690758*时间
0.337183410855*舌尖上的中国 0.200102567949*美食 0.160890968933*舌尖 0.157874692085*中国 0.143948360177*时节
0.30729300322*回来 0.269960973251*爸爸 0.202736619135*京东 0.138036914469*妈妈 0.0819724899244*发现
0.419953856248*步步惊情 0.201651208305*吴奇隆 0.137419807253*爱奇艺 0.126364928072*步步 0.114610200122*惊心
0.245816786149*连城 0.245134251327*宫锁 0.241037172436*步步惊情 0.138614875052*爸爸 0.129396915036*回来
0.295254500994*舌尖上的中国 0.258109345788*舌尖 0.15532408893*挂面 0.149981136523*爷爷 0.141330927765*张世新
0.326689888516*欧冠 0.3211323943*欧冠 0.145452457876*决赛 0.11210598974*皇马 0.0946192695667*拜仁
0.369991910559*马航 0.209180308576*失联 0.159273385079*MH370 0.135860289045*乘客 0.125694106742*客机
0.379817155351*爸爸回来了 0.168373813745*吴尊 0.166867758869*卫视 0.161446258589*浙江 0.123495013446*节目
0.336041078828*韩国 0.214642777276*肌肤 0.152692302594*毛孔 0.1489376895*问题 0.147686151802*新疆
0.534592440301*NBA 0.14349363059*季后赛 0.109844232271*火箭 0.107939540345*体育 0.104130156493*美国
0.320912544789*NBA 0.226360083294*火箭 0.173353556294*加油 0.143984630001*篮球 0.135389185623*实力
0.282109354839*美剧 0.279189973015*美剧 0.199749718444*中国 0.122811424939*步步惊情 0.116139528763*舌尖上的中国
0.306251827437*NBA 0.257043672417*火箭 0.152402647458*季后赛 0.145648706839*绝杀 0.138653145849*开拓者
0.474162997853*步步惊情 0.185145624988*步步 0.133118561224*张晓 0.108719949512*惊心 0.0988528664231*殷正
0.240417837883*韩国 0.232636352976*沉船 0.180836259652*中国 0.17688749362*美国 0.169222055869*飞机
0.431036017474*NBA 0.155444956863*季后赛 0.14868644272*比赛 0.143429868855*火箭 0.121402714087*晋级
0.335794162584*NBA 0.25795382*火箭 0.146212637453*球队 0.137121891386*篮球 0.122917488577*实力
