0.451609672305*新疆 0.149076602095*北京 0.134044157875*福建 0.133417602076*四川 0.131851965649*云南
0.414718907771*NBA 0.173365534248*马刺 0.151571979919*小牛 0.131942771549*篮球 0.128400806514*季后赛
0.225933588692*全国 0.202151509383*新疆 0.198754169099*工作 0.194790605434*信息 0.178370127393*中国
0.316754885862*NBA 0.221282224462*新疆 0.188463820779*活动 0.142716575786*美国 0.130782493111*中国
0.346267641948*新疆 0.17766308294*海南 0.169038599227*西藏 0.153515337943*香港 0.153515337943*河北
0.37535972686*NBA 0.23480755707*欧冠 0.145514984715*比赛 0.126706225038*冠军 0.117611506317*本赛季
0.397779118244*步步惊情 0.172591704023*宫锁 0.164672333815*卫视 0.160024128388*连城 0.10493271553*金玉良缘
0.54621868803*新疆 0.147349162615*中国 0.108635592486*草原 0.103004366502*美食 0.0947921903661*天山
0.262347879051*NBA 0.203778750709*雷霆 0.188034157108*热火 0.177417954192*步行者 0.16842125894*快船
0.591853405944*京东 0.135512249492*商城 0.100162063407*发现 0.0894497632094*购买 0.0830225179468*淘宝
0.243458884195*程虹 0.231367556388*夫人 0.221892224116*李克强 0.184839563267*总理 0.118441772034*埃塞俄比亚
0.351708086809*步步惊情 0.219040016465*观看 0.191646111229*吴奇隆 0.13187728813*爱奇艺 0.105728497367*高清
0.333298866766*舌尖上的中国 0.262381174271*舌尖 0.167393374093*美食 0.163332317241*中国 0.073594267628*食物
0.287815209375*NBA 0.244923003906*季后赛 0.192256627203*篮网 0.142626801376*猛龙 0.132378358138*晋级
0.353542864465*马航 0.169193130861*失联 0.165506086305*韩国 0.163048056601*飞机 0.148709861769*MH370
0.421036344196*NBA 0.26311633446*季后赛 0.112433174836*体育 0.104420935509*热火 0.098993210998*观看
0.305912404737*韩国 0.204757644337*爱奇艺 0.188973001409*观看 0.165185011269*客轮 0.135171938248*沉没
0.205465110288*韩国 0.204721758138*沉船 0.19871974152*美国 0.196375606274*普京 0.19471778378*飞机
0.366084093051*欧冠 0.206101312698*皇马 0.148635406299*拜仁 0.147925695625*体育 0.131253492326*决赛
0.461354704517*NBA 0.142239436867*球员 0.140240915649*喜欢 0.135244096989*回来 0.120920845979*篮球
