0.227633424439*程虹 0.220523677934*夫人 0.211517915152*总理 0.184382110061*李克强 0.155942872413*中国
0.531122862165*步步惊情 0.163138028456*步步 0.103536291242*宫锁 0.101313097832*剧情 0.100889720305*张晓
0.239167809406*NBA 0.196143072561*切换 0.193409526784*实力 0.191789846621*无价 0.179489744628*篮球
0.321307650594*NBA 0.209464016368*美国 0.181668295762*世界 0.144276294504*洛杉矶 0.143283742772*老板
0.295487114204*舌尖上的中国 0.225724425183*舌尖 0.193457026864*中国 0.191664468322*美食 0.0936669654264*食物
0.229530958917*全国 0.214386944385*扫黄打非 0.189541173125*色情 0.183625347486*办公室 0.182915576087*案件
0.210504065011*新疆 0.198529440527*特战 0.19768902626*总队 0.196848912893*雪豹 0.196428555309*国际
0.268336508049*机会 0.198120625332*点击 0.190811844087*转发 0.176716534079*步步惊情 0.166014488453*获得
0.316295150376*NBA 0.226655909602*雷霆 0.18714380513*季后赛 0.137213249912*热火 0.13269188498*快船
0.268027460035*NBA 0.215722422765*官方 0.203342553092*最佳 0.167131463598*本赛季 0.145776100511*新秀
0.467364407255*新疆 0.171128315723*东莞 0.145564702129*小伙 0.121204136004*针管 0.094738438889*烤羊肉串
0.204031270368*沉船 0.203552808403*韩国 0.20081108237*美国 0.19604095555*马来 0.195563883308*普京
0.638182468535*新疆 0.130562619175*中国 0.0904543077835*天山 0.0749959680556*草原 0.0658046364508*美丽
0.259857158294*舌尖上的中国 0.242956452833*中国 0.218309054703*NBA 0.155635197925*历史 0.123242136245*美食
0.471532157721*京东 0.148324942462*淘宝 0.146111258177*电商 0.143897169123*商城 0.0901344725166*天猫
0.337920531487*欧冠 0.337051215751*欧冠 0.129837200602*决赛 0.100710969726*冠军 0.0944800824337*球队
0.23824059621*学院 0.235946189899*深泉 0.188336623997*学生 0.18451252882*美国 0.152964061074*学校
0.383898607476*NBA 0.208969298231*季后赛 0.153779581526*雷霆 0.148636553905*快船 0.104715958861*步行者
0.271551746474*韩国 0.234795918632*马航 0.201826536667*沉船 0.168189320351*事故 0.123636477877*事件
0.457620120449*京东 0.156139291605*不错 0.140348455546*发现 0.132291746268*感觉 0.113600386132*商品
