0.293629007154*NBA 0.223143347996*热火 0.2122125363*篮网 0.137015224133*比赛 0.133999884417*季后赛
0.428267830857*新疆 0.161857840745*韩国 0.145128570573*云南 0.133000079083*福建 0.131745678742*广东
0.553506565658*京东 0.143682460076*商城 0.135570120745*电商 0.0859604520627*淘宝 0.0812804014578*红包
0.358995690551*回来 0.320279932076*爸爸 0.179058602974*妈妈 0.0712728141055*爸爸回来了 0.0703929602932*孩子
0.396657769067*欧冠 0.181857589666*决赛 0.150193725315*NBA 0.142063782158*足球 0.129227133794*联赛
0.217964637432*夫人 0.210845693975*总理 0.207077006749*程虹 0.206448892211*李克强 0.157663769633*中国
0.2502252887*深泉 0.249323554006*学院 0.170324056194*学生 0.1654543989*录取 0.1646727022*美国
0.498474609884*步步惊情 0.137240641542*张晓 0.129376822462*吴奇隆 0.124049522551*步步 0.11085840356*电视剧
0.251390253394*NBA 0.236348319146*杜兰特 0.190603940752*常规赛 0.170204203971*时间 0.151453282737*北京
0.486046892409*NBA 0.153791661598*杜兰特 0.12553777098*获得 0.117311837507*季后赛 0.117311837507*参与
0.442872619793*NBA 0.174059558997*篮球 0.138105883727*篮网 0.13071325811*热火 0.114248679374*季后赛
0.267071349256*舌尖上的中国 0.218590303678*美食 0.172053684309*舌尖 0.171567648197*新疆 0.170717014561*中国
0.248660012896*NBA 0.208804069394*头条 0.190363049912*新疆 0.188578563018*博客 0.16359430478*事件
0.253751272299*韩国 0.217769325548*沉船 0.198499223228*飞机 0.165757486473*马航 0.164222692452*中国
0.340339173464*新疆 0.203363648707*中国 0.175260162074*四川 0.142952741477*雪豹 0.138084274278*国际
0.578904972629*新疆 0.14873327689*天山 0.103062004477*草原 0.0872803244018*中国 0.0820194216023*美丽
0.211785789733*切换 0.204542872568*无价 0.196662441612*实力 0.195793253996*安踏 0.191215642091*篮球
0.330950963235*NBA 0.238608555474*雷霆 0.155567738703*杜兰特 0.139660743721*官方 0.135211998867*热火
0.305181093317*NBA 0.227839437349*季后赛 0.187578552605*热火 0.157696465977*篮网 0.121704450751*马刺
0.240640422848*NBA 0.200000164456*舌尖上的中国 0.200000164456*步步惊情 0.192513325012*京东 0.166845923229*记者
