0.284397715968*韩国 0.251265174356*沉船 0.168661443623*飞机 0.159687702535*美国 0.135987963518*普京
0.24550323518*京东 0.224757077971*发展 0.208851794548*北京 0.174966122778*NBA 0.145921769523*时间
0.307810381768*舌尖上的中国 0.205618998694*美食 0.193732730964*舌尖 0.191108230909*中国 0.101729657666*发现
0.206024572656*篮球 0.205218243232*实力 0.200901339136*无价 0.200474365036*安踏 0.187381479941*NBA
0.242066242387*观看 0.236948900184*NBA 0.181679233194*记录 0.172979405649*关注 0.166326218586*爱奇艺
0.227908578196*程虹 0.208594680515*李克强 0.202800669333*夫人 0.201351870058*总理 0.159344201897*总统
0.620942299461*新疆 0.106383965853*天山 0.0944028052573*草原 0.0931636070844*中国 0.0851073223442*美丽
0.358181916855*NBA 0.228189479322*季后赛 0.157114676967*雷霆 0.144689696994*比赛 0.111824229861*热火
0.275627802292*马航 0.228481438765*中国 0.208172061546*新疆 0.173597809614*美国 0.114120887782*事件
0.364493545843*NBA 0.187267791652*雷霆 0.171101716304*快船 0.159454085765*季后赛 0.117682860436*杜兰特
0.374743699792*NBA 0.188382792025*篮球 0.186769419642*时间 0.143204087685*经验 0.106900000856*技术
0.259373428751*学院 0.248253867562*深泉 0.207913057112*美国 0.149211950172*学生 0.135247696403*学校
0.57905542934*京东 0.141568106857*商城 0.0998953285033*淘宝 0.0913202463789*商品 0.0881608889207*电商
0.48711147946*步步惊情 0.147989773312*结局 0.134665765378*步步 0.130938418301*大结局 0.0992945635485*宫锁
0.225141691628*喜欢 0.212357557659*爸爸 0.20738598178*回来 0.178267487026*京东 0.176847281906*妈妈
0.622717937865*新疆 0.106951776022*草原 0.0918199964033*中国 0.0900246499969*喀纳斯 0.0884856397126*天山
0.212888793195*步步惊情 0.208207035227*机会 0.199944894734*点击 0.19195828057*NBA 0.187000996274*转发
0.344991768037*新疆 0.176508516303*经济带 0.167201924254*大通道 0.15596974175*中国 0.155328049657*中南
0.3226832279*新疆 0.195567281275*海南 0.176011049121*香港 0.157432468113*云南 0.148305973591*时间
0.321973874669*欧冠 0.186601895714*皇马 0.184052091632*联赛 0.156699567523*决赛 0.150672570463*冠军
