0.486881236571*步步惊情 0.156590388487*步步 0.120922177887*结局 0.117883058219*电视剧 0.117723138836*吴奇隆
0.355292476972*欧冠 0.170712579638*NBA 0.165378077909*决赛 0.156842278441*比赛 0.151774587041*球队
0.382829619979*新疆 0.172509201749*中国 0.169473040376*四川 0.143804300439*云南 0.131383837456*贵州
0.230933053639*韩国 0.207641847261*沉船 0.19759478565*飞机 0.193332302277*美国 0.170498011172*马来
0.328552197146*NBA 0.227460223925*马刺 0.157473160454*开拓者 0.146780818404*无价 0.139733600071*篮球
0.395537855389*新疆 0.176045182367*服务 0.171031505448*活动 0.141505590908*商品 0.115879865888*京东
0.544090264078*京东 0.14377392448*商城 0.122929775378*电商 0.0992351088499*淘宝 0.0899709272142*苏宁
0.378120535988*NBA 0.168055003255*马刺 0.158592504808*篮球 0.152915077325*开拓者 0.142316878625*主场
0.296577631936*NBA 0.201082995036*最佳 0.17105621944*官方 0.166133726344*快船 0.165149427244*球员
0.58456081065*新疆 0.128694359337*草原 0.125583887171*天山 0.0806776340504*中国 0.0804833087917*发现
0.375890879125*马航 0.20743914709*失联 0.151646127521*MH370 0.133048259795*中国 0.131975586469*客机
0.433503867997*新疆 0.236287835009*中国 0.113074644433*马航 0.110820735357*事件 0.106312917204*旅游
0.269105376202*NBA 0.216143987959*季后赛 0.177235827066*篮网 0.170499552304*直播 0.167015256469*体育
0.340775880115*舌尖上的中国 0.214602085924*舌尖 0.159667101747*美食 0.159223812045*家常 0.125731120168*妈妈
0.203423062302*实力 0.200454980728*安踏 0.199452627628*无价 0.198720231364*NBA 0.197949097978*篮球
0.359466493169*NBA 0.200960307133*季后赛 0.165943757681*热火 0.148125342091*雷霆 0.125504099927*步行者
0.339063125125*京东 0.210810521479*房事 0.18918940038*新疆 0.136119411382*希望 0.124817541633*感觉
0.249998912914*NBA 0.235242449103*机会 0.229166002337*获得 0.146702579147*美国 0.138890056499*参加
0.253147709371*NBA 0.223593056228*震撼 0.177589415686*比赛 0.174248339516*时刻 0.171421479198*版本
0.281524135786*新疆 0.193548522856*国家 0.1900659583*喀什 0.172287694202*学生 0.162573688857*分裂
