0.411470309752*我是歌手 0.15018488883*唱 0.147132510395*歌手 0.145911277955*曹格 0.145301013068*韦唯
0.478776250745*春晚 0.149785557428*节目 0.130738733782*录制 0.121215510911*郭德纲 0.119483947134*全国
0.355850839961*春晚 0.23745059396*春节 0.138354617727*大道 0.135780611556*央视 0.132563336797*星光
0.279527638659*我是歌手 0.226081581735*张杰 0.170497917643*战 0.167291036674*张 0.156601825289*喜欢
0.437856653972*我是歌手 0.218707878615*邓紫棋 0.120714588643*歌手 0.115369240524*喜欢 0.107351638246*唱
0.347184036783*春晚 0.214010432637*观看 0.157815556098*本山 0.141649645633*综艺 0.139340328848*节目
0.240382192915*我是歌手 0.230767114782*歌曲 0.195913821025*唱 0.189904451771*演唱 0.143032419506*舞台
0.355091388993*春晚 0.209301965646*中国 0.152059283294*节目 0.145798550936*播出 0.137748811132*卫视
0.398893650942*我是歌手 0.21521501625*曹格 0.140141674029*韦唯 0.123625531862*唱 0.122124126917*歌手
0.29060284781*春晚 0.211049195494*网 0.187845876791*观看 0.155803626289*酷 0.154698453616*我是歌手
0.496997265515*春晚 0.150400640331*央视 0.144425108107*观看 0.104586388391*娱乐 0.103590597656*主持
0.327246624484*春晚 0.222627114396*央视春晚 0.189172989668*小品 0.144770665413*唱歌 0.116182606039*舞台
0.362988917509*春晚 0.236887377207*直通 0.158516171596*华晨 0.148498852246*宇 0.0931086814427*李琦
0.295864642224*节目 0.230546026353*春晚 0.180596588699*歌手 0.150818838533*舞台 0.142173904191*我是歌手
0.412762225635*春晚 0.19343754645*节目 0.157171381856*我是歌手 0.122631917951*中国 0.113996928108*唱
0.423534376182*我是歌手 0.176898061528*邓紫棋 0.161642426324*唱 0.119870687175*喜欢 0.11805444879*歌手
0.583831369277*春晚 0.115946389001*舞台 0.112840947445*表演 0.0942082981075*卫视 0.0931729961685*节目
0.223095620297*春晚 0.206539603526*高清 0.20488397985*观看 0.198675501059*优 0.166805295268*直通
0.50239102422*春晚 0.149184318665*语言 0.148222039821*类节目 0.102026085334*央视春晚 0.0981765319593*张国立
0.47273001774*春晚 0.183022784746*节目 0.14408322115*央视春晚 0.106701642699*小品 0.0934623336646*卫视
