0.323486491367*舌尖上的中国 0.194014456279*舌尖 0.183864801417*中国 0.153025715778*美食 0.145608535159*家常
0.28523627952*京东 0.186190761749*定价 0.186190761749*招股书 0.179048112296*上市 0.163334084685*美国
0.435367465301*新疆 0.156301312645*云南 0.148459336762*四川 0.147647920789*贵州 0.112223964503*中国
0.30696264879*新疆 0.241905189146*美食 0.190898015521*发现 0.149053884607*舌尖上的中国 0.111180261936*味道
0.331520996319*新疆 0.209764772622*舌尖上的中国 0.197709204607*美食 0.150694864048*京东 0.110310162403*中国
0.301960380579*新疆 0.258709186112*中国 0.197837520395*美国 0.121347145236*国家 0.120145767678*学院
0.306571158433*舌尖上的中国 0.21959831394*家常 0.163912323279*上海 0.157025282108*母亲 0.15289292224*舌尖
0.401145440359*NBA 0.17364090474*季后赛 0.148536865205*官方 0.144875828971*下载 0.131800960725*游戏
0.4024937416*京东 0.180659465066*电商 0.148513191381*购物 0.134698245049*手机 0.133635356904*腾讯
0.539985594686*京东 0.154690126311*商城 0.109624044974*面膜 0.105970118343*奇迹 0.0897301156863*时间
0.320726031307*舌尖上的中国 0.198950306264*美食 0.186925892994*舌尖 0.15216442732*中国 0.141233342115*家常
0.491397981443*步步惊情 0.156514710361*步步 0.123871630818*吴奇隆 0.123580313473*电视剧 0.104635363906*宫锁
0.554238628882*新疆 0.147110250302*草原 0.119804447993*天山 0.0974182785297*公里 0.0814283942947*中国
0.282433350923*韩国 0.26294626824*沉船 0.159103683123*飞机 0.152963897966*中国 0.142552799747*普京
0.429489927424*欧冠 0.15664345736*皇马 0.151207194183*联赛 0.137955538405*决赛 0.124703882628*拜仁
0.24435500938*记者 0.214915786148*时间 0.214915786148*总统 0.171738476132*机场 0.154074942193*夫人
0.416435073436*NBA 0.177601473305*季后赛 0.148596128246*雷霆 0.13432348233*快船 0.123043842682*比赛
0.274230213753*新疆 0.2142846652*时间 0.200255122162*韩国 0.16071662673*支持 0.150513372155*NBA
0.331762353822*马航 0.202990701145*失联 0.193021453993*飞机 0.138466659756*客机 0.133758831285*失踪
0.203143088397*篮球 0.20041896884*安踏 0.19937142218*无价 0.198638014958*实力 0.198428505625*NBA
