0.467140856188*京东 0.157449920576*发现 0.151377698589*新疆 0.116244598833*商城 0.107786925814*不错
0.277520047406*中国 0.274224106425*舌尖上的中国 0.203032386821*舌尖 0.144364940151*美食 0.100858519197*食物
0.241134254574*季后赛 0.218306669111*NBA 0.196586806175*热火 0.185283722252*篮网 0.158688547887*主场
0.224214496443*李克强 0.200512410843*总理 0.194106523083*夫人 0.192184756755*程虹 0.188981812875*肯尼亚
0.284366601812*NBA 0.186295750982*妈妈 0.178587146824*母亲 0.176874239764*杜兰特 0.173876260618*母亲节
0.470748648968*新疆 0.150001097301*云南 0.147642694501*四川 0.134907001323*中国 0.0967005579062*福建
0.313206776319*欧冠 0.31177655486*欧冠 0.176113015631*赛季 0.111443266368*冠军 0.0874603868222*联赛
0.498407106929*NBA 0.150503773843*篮球 0.131956061272*热火 0.121357470326*球员 0.0977755876291*冠军
0.261657712164*时间 0.218654927015*新疆 0.195639031596*京东 0.174440696413*中国 0.149607632812*美国
0.292710183011*韩国 0.237546451698*沉船 0.165089292104*飞机 0.155208789252*美国 0.149445283936*普京
0.26445850116*舌尖上的中国 0.258750808988*美食 0.173135845842*妈妈 0.162101309858*京东 0.141553534151*母亲节
0.319091143852*马航 0.234662894161*失联 0.176756767494*事件 0.145374203301*调查 0.124114991192*司法
0.460405926225*NBA 0.152960694796*时间 0.149886377698*比赛 0.137588699559*季后赛 0.0991583017215*北京
0.279218658321*活动 0.23895957505*参加 0.184415984872*NBA 0.154546829572*季后赛 0.142858952185*下载
0.561071674005*新疆 0.127164392767*草原 0.10775029554*公里 0.106941247913*天山 0.0970723897744*中国
0.232328471785*NBA 0.210823200364*马刺 0.189053439886*篮球 0.184117765935*实力 0.18367712203*球队
0.506865603531*步步惊情 0.154122382044*步步 0.128734565585*电视剧 0.113202994546*剧情 0.0970744542933*编剧
0.257418764417*NBA 0.230436433213*季后赛 0.215326048035*步行者 0.162440282628*雷霆 0.134378471707*热火
0.319062596893*新疆 0.252876658271*美食 0.214028548547*发现 0.110073568303*舌尖上的中国 0.103958627985*母亲节
0.40161587615*新疆 0.201487497576*中国 0.152131284922*学院 0.12779150963*学生 0.116973831722*深泉
