0.408054653538*NBA 0.171554108782*游戏 0.148260340104*季后赛 0.140861285531*体育 0.131269612045*篮球
0.354258006798*新疆 0.174488512096*学院 0.173166751822*中国 0.155321978379*美国 0.142764750905*云南
0.371240978464*归来 0.210387058861*电影 0.172878534196*张艺谋 0.129599250419*陈道明 0.115894178061*巩俐
0.301601722774*韩国 0.226539645651*京东 0.167562597366*时间 0.15415884129*规模 0.15013719292*肌肤
0.236392351961*欧冠 0.236070070772*冠军 0.219323331934*欧冠 0.161353408151*英超 0.146860837182*利物浦
0.372573464275*步步惊情 0.179041413973*电视剧 0.153846648829*高清 0.150948140243*爱情 0.14359033268*张晓
0.333965597028*舌尖上的中国 0.207421505729*舌尖 0.169680152838*美食 0.160482498708*中国 0.128450245697*家常
0.457824514107*京东 0.166666820122*淘宝 0.144363634913*商城 0.120844163437*亚马逊 0.110300867421*奇迹
0.580633981508*新疆 0.190943485679*中国 0.0887808910608*四川 0.0762896257196*北京 0.0633520160324*美食
0.254237349453*欧冠 0.24751807824*欧冠 0.205527456761*皇马 0.15269531771*联赛 0.140021797837*决赛
0.397782250508*京东 0.213381969723*发现 0.151213004606*小伙伴 0.119601777431*不错 0.118020997733*感觉
0.417798320278*新疆 0.206363539165*发现 0.180308981377*美食 0.105834601195*不错 0.0896945579853*感觉
0.409540414285*京东 0.184342271448*美国 0.145665417944*上市 0.13162960123*中国 0.128822295094*电商
0.333826793229*马航 0.204815712353*失联 0.163199029048*中国 0.150417042381*MH370 0.147741422989*客机
0.225793070034*凤凰 0.203968100106*娱乐 0.20079365873*连城 0.198809511905*宫锁 0.170635659225*琼瑶
0.231523349758*步步惊情 0.197514725713*吴奇隆 0.196533788385*爱奇艺 0.190974677414*高清 0.18345345873*孙艺洲
0.431364624325*NBA 0.222688256803*时间 0.120450828038*球星 0.11694965541*新疆 0.108546635424*梦想
0.505756965619*新疆 0.136684778758*草原 0.135084190308*天山 0.116518652491*美丽 0.105955412823*中国
0.432518858178*NBA 0.185440230353*季后赛 0.138797097355*步行者 0.125458040907*雷霆 0.117785773207*奇才
0.294095710557*欧冠 0.292935513323*欧冠 0.151648065885*冠军 0.148075744305*英超 0.11324496593*曼城
