0.223639032587*韩国 0.198668327181*肌肤 0.197558455514*面膜 0.192009313657*需要 0.188124871062*营养
0.335368876125*中国 0.211345553404*马航 0.205227775612*新疆 0.130146675221*韩国 0.117911119638*乌鲁木齐
0.411179832855*归来 0.202286910436*张艺谋 0.189072357611*电影 0.102415313253*陈道明 0.095045585845*巩俐
0.546671942219*新疆 0.13079035454*草原 0.111832155698*公里 0.107992580174*美丽 0.102712967369*天山
0.353434450988*马航 0.174183178591*失联 0.168546513687*飞机 0.162346121743*MH370 0.141489734991*客机
0.25302444796*中国 0.212679808648*美食 0.194236285505*舌尖 0.175216875233*电脑 0.164842582653*获得
0.425543544317*京东 0.160267451636*淘宝 0.14420187032*亚马逊 0.135581323263*奇迹 0.134405810464*面膜
0.406690485755*NBA 0.240255428854*篮球 0.118754445116*实力 0.118295926387*马刺 0.116003713887*热火
0.317727688638*舌尖上的中国 0.233517289521*舌尖 0.188919576356*中国 0.177008511557*美食 0.0828269339286*家常
0.330211490668*新疆 0.28735258178*发现 0.217325343777*美食 0.100514495606*味道 0.064596088169*团员
0.376059211937*NBA 0.222058413369*季后赛 0.169402553743*热火 0.141276759712*篮网 0.09120306124*詹姆斯
0.620590895275*新疆 0.12209908498*天山 0.0891407368764*中国 0.0883916581764*世界 0.0797776246922*沙漠
0.323347185708*欧冠 0.323101622246*欧冠 0.124383882772*皇马 0.12068575693*冠军 0.108481552344*英超
0.431305805033*步步惊情 0.154703987851*电视剧 0.151610140011*步步 0.137996611019*剧情 0.124383456087*吴奇隆
0.505740265274*京东 0.137591025293*商城 0.136789366364*电商 0.118355361085*阿里 0.101523981983*互联网
0.227547931529*NBA 0.216500221257*篮球 0.19155394786*乔丹 0.182644522887*经典 0.181753376466*体育
0.216094098214*发表 0.205964987465*舌尖上的中国 0.198086656835*舌尖 0.19245940643*导演 0.187394851055*镜头
0.241438114254*美国 0.212466623656*新疆 0.194907841263*学院 0.177349647518*归来 0.173837773309*学生
0.363251605019*京东 0.169519479898*美国 0.16403036747*商城 0.154666708869*中国 0.148531838744*认购
0.397479485654*新疆 0.180419954762*云南 0.150769919402*四川 0.137623268488*海南 0.133707371694*西藏
