0.392072984055*新疆 0.166667472932*贵州 0.156558288488*云南 0.149727609034*海南 0.134973645492*西藏
0.249279583505*NBA 0.200534753841*乔丹 0.192102037595*篮球 0.182229778041*经典 0.175853847019*詹姆斯
0.228388227421*刘汉 0.22474871958*天价 0.212920153452*饭局 0.192902860323*官场 0.141040039224*NBA
0.277567390788*NBA 0.229286271419*欧冠 0.173058258392*比赛 0.16491173304*冠军 0.155176346361*球队
0.330289473597*舌尖上的中国 0.30649814067*舌尖 0.136377175995*导演 0.118673391793*镜头 0.108161817946*中国
0.254646365428*新疆 0.22366127003*能力 0.182535804451*教官 0.170141710891*公安部 0.169014849201*武器
0.536938228613*新疆 0.13877109565*草原 0.129617864121*天山 0.0983988871358*美丽 0.0962739244805*中国
0.364824364516*新疆 0.251090689784*发现 0.191784449037*美食 0.108345316413*出现 0.0839551802503*时间
0.253921542128*NBA 0.247106385396*雷霆 0.20016454563*快船 0.166911490117*裁判 0.131896036728*比赛
0.376095354996*NBA 0.230479955216*季后赛 0.134864614695*比赛 0.131628673027*雷霆 0.126931402066*快船
0.413424823524*归来 0.165406915306*张艺谋 0.151548476181*电影 0.13624970059*观众 0.133370084398*免费
0.348464284816*回来 0.308822260027*爸爸 0.167732478603*妈妈 0.0959090594917*儿子 0.0790719170632*孩子
0.328754460125*NBA 0.242436871119*季后赛 0.156840837625*体育 0.142385552914*地址 0.129582278218*下载
0.396359664459*NBA 0.211312841023*高清 0.153940471768*步步惊情 0.122425712641*宫锁 0.115961310109*编剧
0.204449932991*实力 0.202000097193*无价 0.199699949039*篮球 0.198449953262*切换 0.195400067515*安踏
0.31345200861*美国 0.214767197865*中国 0.179979038605*李克强 0.157970209643*总理 0.133831545278*NBA
0.502897379506*新疆 0.250790131786*中国 0.095465318637*美食 0.0764785374266*城市 0.0743686326439*文化
0.309770911405*NBA 0.203750330412*雷霆 0.168049509157*热火 0.163001050438*季后赛 0.155428198588*湖人
0.332547361794*马航 0.191803931992*步步惊情 0.171313761973*失联 0.152839315757*飞机 0.151495628483*MH370
0.314058318916*NBA 0.238688213497*快船 0.189288942633*雷霆 0.134695624585*篮球 0.123268900369*球队
