0.382300929837*步步惊情 0.180697493831*吴奇隆 0.165684507379*电视剧 0.145309829131*卫视 0.126007239822*主演
0.306725733527*欧冠 0.306458763978*欧冠 0.172717976437*决赛 0.111053123653*冠军 0.103044402405*半决赛
0.229031897312*韩国 0.219892143097*中国 0.21209662388*美国 0.199193558408*沉船 0.139785777303*普京
0.329018356848*NBA 0.236816671734*热火 0.175740940145*篮网 0.135201943251*篮球 0.123222088021*季后赛
0.390709989527*新疆 0.190260662403*四川 0.158173681748*福建 0.15137867256*云南 0.109476993762*中国
0.543246019686*新疆 0.153018917775*中国 0.110343975949*发现 0.108421511256*美食 0.0849695753347*乌鲁木齐
0.272103286525*新疆 0.255788024546*舌尖 0.205262966703*美食 0.151580296499*舌尖上的中国 0.115265425728*发现
0.234137296182*暴恐 0.232319596128*组织 0.219431327902*东突 0.17944497526*乌鲁木齐 0.134666804529*突厥
0.346376106307*新疆 0.233854285259*马航 0.15949232301*中国 0.134541545935*时间 0.12573573949*北京
0.415940028981*舌尖 0.206911104706*舌尖上的中国 0.138859963581*导演 0.13250019591*美食 0.105788706822*故事
0.465682707033*归来 0.151672989786*电影 0.146771253908*张艺谋 0.119666746826*爱情 0.116206302447*影城
0.494061081541*NBA 0.142943203325*球迷 0.132860448475*比赛 0.116253762969*热火 0.11388150369*篮球
0.242705651022*李克强 0.216701627477*国务院 0.183298372523*总理 0.183086965911*常务会议 0.174207383067*服务业
0.466439185881*归来 0.15501082879*希望 0.14933964136*新疆 0.121930085836*喜欢 0.107280258133*回来
0.574025425549*新疆 0.13733876394*草原 0.109426493536*天山 0.0958747906258*美丽 0.0833345263489*中国
0.332225109101*舌尖 0.301217686203*美食 0.139218594441*中国 0.126720937819*享受 0.100617672435*口味
0.228624838452*新疆 0.194142716475*青岛 0.193670379716*九寨沟 0.192253369438*海南 0.19130869592*江南
0.306953972082*归来 0.195933517991*张艺谋 0.185420589117*电影 0.166821013297*巩俐 0.144870907514*陈道明
0.36920636881*新疆 0.179195091115*白银 0.158750613448*服务 0.158149353076*商品 0.13469857355*渤海
0.256383948003*欧冠 0.253527309196*欧冠 0.169859286549*本菲卡 0.168851220297*决赛 0.151378235955*冠军
