0.492269679141*新疆 0.146138865405*白银 0.13444813*商品 0.114406663906*渤海 0.112736661548*香菇
0.442117623589*新疆 0.195177099508*天山 0.167203262921*草原 0.10643255929*伊犁 0.0890694546928*牧场
0.450146878325*归来 0.187453367456*电影 0.129201469237*故事 0.117999443058*张艺谋 0.115198841924*巩俐
0.591104867348*新疆 0.118390503812*中国 0.117548684565*公里 0.0936351854782*草原 0.079320758796*地方
0.315090979511*舌尖 0.266450735886*中国 0.198855541548*美食 0.110516563131*舌尖上的中国 0.109086179924*黄海波
0.38715519085*马航 0.181084542414*中国 0.158785728447*飞机 0.140331831093*事件 0.132642707196*国家
0.225163829379*新疆 0.209628013747*暴恐 0.198249443577*分子 0.191247264464*杀害 0.175711448832*外媒
0.355171914469*归来 0.172246386009*电影 0.166268306825*巩俐 0.155826928887*陈道明 0.15048646381*张艺谋
0.49672652377*归来 0.133161505281*支持 0.125981584766*希望 0.122717794151*喜欢 0.121412592033*电影
0.34414276512*黄海波 0.224131968414*步步惊情 0.163477746667*主演 0.140448622643*嫖娼 0.127798897156*卫视
0.402413427704*新疆 0.257282483667*归来 0.130293473932*跟着 0.108303882043*发现 0.101706732653*主题
0.272838605284*舌尖 0.209340417967*相逢 0.206062944248*舌尖上的中国 0.175884262165*火锅 0.135873770336*美味
0.408702076964*归来 0.237702327401*电影 0.141128826274*张艺谋 0.113057891604*巩俐 0.0994088777565*等待
0.296091715257*新疆 0.216136985696*九寨沟 0.173056512282*海南 0.158817791219*江南 0.155896995546*青岛
0.395383727047*新疆 0.160676443521*北京 0.152092971523*四川 0.148874031868*福建 0.142972826041*云南
0.219182708729*新疆 0.202349635274*羊群 0.200771526105*领头羊 0.197440022978*跟着 0.180256106914*准备
0.285317475698*NBA 0.192281214645*归来 0.188146392751*希望 0.168850352177*欧冠 0.16540456473*参与
0.302764225046*NBA 0.191027732126*雷霆 0.177165069164*快船 0.166273314714*篮球 0.16276965895*实力
0.289451218921*美食 0.25801161308*舌尖 0.218864086869*新疆 0.122921712493*发现 0.110751368638*味道
0.221137376769*学院 0.200269208779*深泉 0.196230349372*世界 0.192191247391*国际 0.190171817688*重庆
