0.451802558788*新疆 0.14978688685*中国 0.143034468522*北京 0.131984934851*湖北 0.12339115099*舌尖
0.295389872539*舌尖上的中国 0.234416394792*中国 0.178184700956*舌尖 0.165990005406*微信 0.126019026307*希望
0.284283369954*马航 0.260009118178*新疆 0.158408961866*事件 0.155656327005*乌鲁木齐 0.141642222997*暴恐
0.232777891279*美食 0.200631321981*新疆 0.192594959266*火锅 0.188576405096*牛肉 0.185419422378*舌尖
0.489258098408*黄海波 0.139293038188*粉丝 0.135187083672*嫖娼 0.118762612836*感情 0.117499166896*家庭
0.528434693666*新疆 0.152088353388*天山 0.130310243417*中国 0.101152857272*草原 0.0880138522569*伊犁
0.562082768047*归来 0.169935509644*电影 0.0910703244492*中国 0.0884556989298*爱情 0.0884556989298*喜欢
0.264535215691*舌尖 0.218576513702*美食 0.185524738059*新疆 0.173341604009*舌尖上的中国 0.158021928538*相逢
0.319654612849*黄海波 0.293172419438*归来 0.152555952398*吴亦凡 0.119733086307*希望 0.114883929008*支持
0.518688334301*归来 0.214022441478*电影 0.0995554265815*爱情 0.0861911394854*时代 0.0815426581544*故事
0.328634557153*NBA 0.197957004254*欧冠 0.18034553499*球队 0.153576117258*雷霆 0.139486786344*季后赛
0.217939396772*文章 0.20152276463*出轨 0.199619308842*嫖娼 0.198191866786*黄海波 0.18272666297*扫黄
0.337231801986*新疆 0.193606813578*海南 0.176947994343*九寨沟 0.147682493032*西藏 0.144530897061*江南
0.355457690116*归来 0.180990772123*电影 0.166439719251*巩俐 0.163286065449*陈道明 0.133825753061*张艺谋
0.374943224941*步步惊情 0.168153638332*归来 0.154565841675*剧情 0.152867122108*电视剧 0.149470172944*吴奇隆
0.295878862292*舌尖 0.208667741274*舌尖上的中国 0.188871291419*故事 0.168539726327*相逢 0.138042378688*美食
0.244655651165*新疆 0.244423230929*云南 0.198187754122*上海 0.158225517144*北京 0.154507846641*大盘鸡
0.354484018971*欧冠 0.190968192534*决赛 0.17089763197*皇马 0.142562982757*巴萨 0.141087173768*冠军
0.539442189954*新疆 0.137157438037*沙漠 0.111011046154*牧场 0.107800124003*草原 0.104589201852*风景
0.446877257329*归来 0.221795837796*电影 0.117196646076*巩俐 0.109392513762*陆焉 0.104737745037*爱情
