0.213579456175*足总杯 0.204717531318*英格兰 0.199323593005*欧冠 0.191360976206*皇马 0.191018443296*欧冠
0.283919756914*欧冠 0.237730683368*欧冠 0.178695274712*冠军 0.159642192732*马竞 0.140012092273*马德里
0.461478272145*归来 0.162064448051*同桌的你 0.147529878875*电影 0.118824250066*新疆 0.110103150863*希望
0.272453791279*欧冠 0.253824689824*欧冠 0.176647047604*马竞 0.152695473352*冠军 0.14437899794*期待
0.384543547892*NBA 0.175586610847*决赛 0.17137737069*季后赛 0.137102371981*热火 0.13139009859*体育
0.247483724996*马航 0.192756583266*事件 0.190744842996*归来 0.187928150671*黄海波 0.181086698071*中国
0.575454669475*新疆 0.147337513278*位于 0.128437078855*中国 0.0770341742376*云南 0.0717365641553*天山
0.215306223517*贝蒂斯 0.206573306499*欧冠 0.205620938149*拉科 0.187202334766*欧冠 0.18529719707*西甲
0.277008013791*欧冠 0.274827950304*欧冠 0.15000574744*巴萨 0.149569734743*马竞 0.148588553721*冠军
0.464911100674*归来 0.215465123506*电影 0.117352537885*张艺谋 0.110349862369*爱情 0.0919213755657*等待
0.241651071419*乌鲁木齐 0.22373010042*暴恐 0.205267217904*警方 0.168341214563*火车站 0.161010395693*受伤
0.297515982368*欧冠 0.263514695414*欧冠 0.189731623931*决赛 0.144509741409*球队 0.104727956879*巴萨
0.299523951076*舌尖 0.247490603242*美食 0.168647779637*新疆 0.158214627612*舌尖上的中国 0.126123038434*味道
0.256319827119*欧冠 0.252906492175*欧冠 0.182986837617*马竞 0.175146624662*冠军 0.132640218426*巴萨
0.247481646741*欧冠 0.222904855719*欧冠 0.202155400142*马竞 0.17898890396*冠军 0.148469193438*巴萨
0.453349796728*黄海波 0.143293436154*中国 0.140854607373*粉丝 0.133232931024*越南 0.12926922872*感情
0.243646962014*欧冠 0.240560129392*欧冠 0.208976339012*科斯塔 0.156020505919*巴萨 0.150796063663*马竞
0.531354791396*归来 0.130010367965*家庭 0.121696433811*父亲 0.118672936882*回家 0.0982654699454*感动
0.376396436318*归来 0.20708582107*电影 0.165792193367*巩俐 0.140053233668*陈道明 0.110672315577*张艺谋
0.270512236477*黄海波 0.216697984998*文章 0.198206237*嫖娼 0.180932459415*出轨 0.133651082109*马航
