0.499995647851*归来 0.245825563365*电影 0.0878955948373*陈道明 0.0844171912388*时代 0.0818660027083*故事
0.213518444916*欧冠 0.210300111104*希望 0.200643797936*欧冠 0.194206474445*归来 0.181331171599*机会
0.341644762904*欧冠 0.336704449814*欧冠 0.116001086222*联赛 0.105413121547*竞技风暴 0.100236579513*皇马
0.37922211616*舌尖 0.232628219647*舌尖上的中国 0.202045682466*美食 0.102076278452*纪录片 0.0840277032746*中国
0.232374950244*黄海波 0.224275488211*文章 0.213780401272*出轨 0.208532857803*嫖娼 0.12103630247*马航
0.243371419901*欧冠 0.243371419901*欧冠 0.185041268753*冠军 0.172709433349*皇马 0.155506458096*西甲
0.372574702666*归来 0.227764624553*电影 0.175314009787*张艺谋 0.125143479884*爱情 0.0992031831094*小说
0.482270448773*归来 0.220809361973*电影 0.102655175222*巩俐 0.101819602094*陈道明 0.0924454119372*爱情
0.384191466498*归来 0.212510998559*张艺谋 0.193033058526*电影 0.108003892529*导演 0.102260583887*等待
0.437244046917*黄海波 0.159527073967*凤凰 0.158266965873*娱乐 0.140625860486*事件 0.104336052757*宫锁
0.233792764672*观看 0.229682205461*高清 0.207416318715*电视剧 0.172904122721*步步惊情 0.156204588431*爱奇艺
0.226220415754*新疆 0.214652357713*海南 0.212081800959*云南 0.188946421742*贵州 0.158099003831*西藏
0.22740379304*决赛 0.200423863009*比赛 0.194642607255*欧冠 0.194450009206*欧冠 0.18307972749*NBA
0.3768386345*马航 0.220944705268*飞机 0.169774568841*MH370 0.124912966215*失联 0.107529125175*客机
0.580703264875*新疆 0.126257335432*中国 0.104489338631*草原 0.0961169490365*美丽 0.0924331120245*天山
0.284330024926*NBA 0.221840008922*热火 0.176066441418*步行者 0.166849216803*篮球 0.150914307932*实力
0.215971409222*击落 0.208150249096*军演 0.197173375173*MH370 0.195252482583*新书 0.183452483924*美泰
0.51648834187*新疆 0.148176407955*中国 0.119940873001*北京 0.110945540152*四川 0.104448837023*美食
0.557403872643*新疆 0.134583946961*中国 0.118911091065*城市 0.0994909120909*乌鲁木齐 0.0896101772404*世界
0.305240632508*同桌的你 0.271381114883*喜欢 0.148984957213*发现 0.144971886768*舌尖 0.129421408628*现实
