0.372975572747*春晚 0.193309039991*电话 0.167288209376*获奖 0.136311399141*中奖 0.130115778745*诈骗
0.38004782562*邓紫棋 0.192722657172*泡沫 0.161052344901*爱 0.137468522957*优酷 0.12870864935*优
0.306011090386*春晚 0.191672434117*直通 0.187706960047*华晨 0.178454069992*宇 0.136155445458*李琦
0.410943677617*春晚 0.173974573108*评委 0.147948851771*直播 0.138360583092*活动 0.128772314412*现场
0.35829092924*春晚 0.197446968584*观看 0.190638736793*高清 0.127662672018*优 0.125960693364*国美
0.312566398027*我是歌手 0.306448712388*邓紫棋 0.159066626973*唱 0.112349617442*歌 0.10956864517*韦唯
0.315386416701*春晚 0.243059496043*央视春晚 0.154753936319*节目 0.146343594126*马 0.140456556811*表演
0.491252656251*春晚 0.161818196632*赵本山 0.119911414982*小品 0.114090845426*观众 0.112926886709*邀请
0.465808145596*春晚 0.17382917628*除夕 0.127932839024*幸福 0.118167971995*放假 0.114261867105*机会
0.259552725829*春晚 0.195555841171*湖南卫视 0.194667022194*主持 0.176890003216*搭档 0.173334407589*直播
0.375147614941*春晚 0.213153983945*卫视 0.184531281099*录制 0.11388807802*现场 0.113279041996*李宇春
0.384380171359*邓紫棋 0.181181418902*我是歌手 0.155656741547*存在 0.151652810028*唱 0.127128858164*喜欢
0.341164579646*春晚 0.203361087436*我是歌手 0.203361087436*希望 0.131098253895*喜欢 0.121014991586*观众
0.463153278148*春晚 0.147303953135*唱 0.137484535197*节目 0.127665605108*卫视 0.124392628412*明星
0.270128063845*春晚 0.201039018413*铮亮 0.191169005463*时间 0.191169005463*王 0.146494906817*去哪儿
0.435672280614*春晚 0.249192291048*节目 0.110939689089*舞台 0.102901626484*草根 0.101294112765*城市
0.331203978006*春晚 0.204731375777*演员 0.171975836211*节目 0.159237620978*马 0.132851189028*娱乐
0.336663532414*春晚 0.236576994943*赵本山 0.152868376105*沈阳 0.137400639067*马 0.136490457472*宋
0.43086116109*春晚 0.217041646721*春节 0.136657808004*联欢晚会 0.120045338748*晚会 0.0953940454378*央视
0.293377327268*春晚 0.189763482213*节目 0.179776496301*参加 0.174783171312*公司 0.162299522906*工作
