0.506228606958*新疆 0.162606571744*中国 0.148159216931*天山 0.0968852367408*旅游 0.0861203676261*草原
0.438505092047*归来 0.219881232101*电影 0.127299969083*张艺谋 0.113652931507*巩俐 0.100660775262*陈道明
0.332986858104*黄海波 0.185509113589*文章 0.163413199755*嫖娼 0.161871609116*火车 0.156219219437*马航
0.293346675955*NBA 0.196861566392*雷霆 0.190118143559*马刺 0.161717173722*篮球 0.157956440371*球队
0.482628238955*新疆 0.154261879606*四川 0.146494764747*云南 0.111975384317*青海 0.104639732376*广东
0.321195281602*新疆 0.237326387168*归来 0.169124969937*发现 0.153918147448*世界 0.118435213844*国际
0.217185111432*新疆 0.198579288882*九寨沟 0.196549515396*海南 0.194181229124*香港 0.193504855166*江南
0.427417707389*新疆 0.285783856841*中国 0.103970400743*文化 0.0934228837935*社会 0.0894051512338*教育
0.442152065956*归来 0.219243497642*电影 0.145034763182*张艺谋 0.105249674757*巩俐 0.0883199984638*陈道明
0.287698184284*黄海波 0.228266851652*事件 0.163513221446*沈阳 0.162034970501*女主角 0.158486772117*女孩
0.227353609922*黄海波 0.201675936161*文章 0.196326758869*家庭 0.189550801425*采访 0.185092893624*儿子
0.280890931777*欧冠 0.279963232265*欧冠 0.15159513811*冠军 0.145401348328*决赛 0.14214934952*皇马
0.375442473471*归来 0.195335275733*黄海波 0.155167687648*蜘蛛侠 0.143181978985*女友 0.130872584164*大师
0.347866454972*新疆 0.186105822404*粽子 0.166329531809*服务 0.154159267764*商品 0.145538923051*香菇
0.31852185373*新疆 0.237796768848*美食 0.222986820719*舌尖 0.1226541491*发现 0.0980404076031*舌尖上的中国
0.341833515027*马航 0.21266042*MH370 0.187156053907*失联 0.130275897563*飞机 0.128074113503*美国
0.302409894124*粽子 0.302409894124*舌尖 0.208071230895*美食 0.0960876361013*舌尖上的中国 0.0910213447548*味道
0.21370879506*粽子 0.207651269237*入境 0.205313520071*禁止 0.204357042088*国家 0.168969373545*邮寄
0.499819964265*归来 0.178183292231*电影 0.11469793627*时间 0.109436816515*朋友 0.0978619907197*日子
0.215942672303*编剧 0.212915576144*连城 0.212915576144*宫锁 0.195762116576*于正 0.162464058833*陆毅
