0.238163520865*归来 0.222141903506*张艺谋 0.199820030142*戛纳 0.194599488407*巩俐 0.14527505708*电影节
0.344348548722*归来 0.187483506198*蜘蛛侠 0.174749816314*大师 0.151450329008*女友 0.141967799759*播音
0.372129670701*归来 0.184898677021*电影 0.178514418082*巩俐 0.146838566138*陈道明 0.117618668058*张艺谋
0.274573945123*粽子 0.199267035576*新疆 0.196268103471*美食 0.166278341144*活动 0.163612574686*舌尖
0.459365357101*归来 0.232342288757*电影 0.123262200577*张艺谋 0.104854628486*文革 0.0801755250794*巩俐
0.376397881261*新疆 0.164216178045*宣判 0.158964120677*传播 0.153362118236*领导 0.147059701782*音视频
0.533404088021*新疆 0.143711083359*天山 0.135125827086*中国 0.114596029487*草原 0.0731629720469*湖水
0.425901711157*归来 0.156696826645*冯婉瑜 0.154775741315*陆焉 0.147366483358*电影 0.115259237524*等待
0.317102837177*NBA 0.212718918645*时间 0.197806996579*北京 0.159211324392*状元 0.113159923206*体育
0.348353350023*马航 0.178057258534*新疆 0.16180324144*中国 0.159956478381*失联 0.151829671622*MH370
0.544758321387*归来 0.160732701306*电影 0.114276776901*爱情 0.100712901157*等待 0.0795192992501*陪伴
0.239859549868*粽子 0.208391508702*国家 0.199300777488*地区 0.178788107487*入境 0.173660056454*禁止
0.354837256422*新疆 0.178469431407*贵州 0.173506513709*云南 0.152701457532*海南 0.14048534093*西藏
0.347434186323*新疆 0.178194005972*宫锁 0.177787188898*连城 0.155005005005*编剧 0.141579613802*湖南卫视
0.343136152119*舌尖 0.227209965052*美食 0.181114703366*粽子 0.128311562283*味道 0.12022761718*发现
0.417612363153*归来 0.226190064459*电影 0.137446266426*张艺谋 0.119589355168*陈道明 0.0991619507935*巩俐
0.281486274069*NBA 0.198797503998*欧冠 0.197548235263*欧冠 0.173499019639*决赛 0.148668967031*球队
0.268733666594*新疆 0.222939073618*美食 0.220233007222*舌尖 0.15237351134*舌尖上的中国 0.135720741226*中国
0.498016565488*粽子 0.153711996461*归来 0.120335733772*喜欢 0.119018359673*活动 0.108917344606*粽叶
0.358016402944*黄海波 0.23098748979*文章 0.148391269649*家庭 0.140416386394*采访 0.122188451223*儿子
