0.326011289024*归来 0.228639035082*时间 0.186635116962*新疆 0.143676797007*北京 0.115037761925*江南
0.414385146607*归来 0.253532057913*电影 0.141931922415*张艺谋 0.0978622249978*巩俐 0.0922886480669*陈道明
0.531279494123*归来 0.2203067847*电影 0.0888137041828*爱情 0.0861626172164*世界 0.0734373997773*新疆
0.26783025705*乌鲁木齐 0.22037498989*早市 0.190100495261*爆炸 0.175427267407*发生 0.146266990391*爆炸案
0.226805573065*乌鲁木齐 0.203232744624*新疆 0.198686578112*航空 0.185890074458*备降 0.185385029741*吉祥
0.365473559938*舌尖 0.218076403514*美食 0.15370530045*舌尖上的中国 0.138203681832*归来 0.124541054266*新疆
0.228752401386*乌鲁木齐 0.209920646258*暴力 0.207704882425*恐怖 0.185549997883*暴恐 0.168072072047*发生
0.312110267605*欧冠 0.310726203065*欧冠 0.165259534385*决赛 0.133841021742*皇马 0.0780629732034*冠军
0.402881453587*归来 0.190238327917*张艺谋 0.14328578659*电影 0.143142859871*巩俐 0.120451572035*戛纳
0.452766348547*新疆 0.203854230683*乌鲁木齐 0.145494417973*中国 0.104506959965*爆炸 0.0933780428318*发生
0.226925893035*北街 0.213857824337*沙依 0.206779232551*公园 0.188538031918*乌鲁木齐市 0.163899018159*死亡
0.462476254858*粽子 0.169391403616*活动 0.145617680221*新疆 0.125558678772*粽叶 0.0969559825332*社区
0.455624953313*NBA 0.166801372043*季后赛 0.14037971438*时间 0.123639346711*雷霆 0.113554613553*马刺
0.485529347786*归来 0.164103631734*电影 0.118523907191*巩俐 0.117498798763*爱情 0.114344314527*陈道明
0.451089796078*粽子 0.286754786135*归来 0.0947766795337*朋友 0.0947766795337*回家 0.0726020587203*孩子
0.314609248135*粽子 0.188128359237*活动 0.176256139034*中国 0.165754291832*关注 0.155251961763*舌尖
0.217824298602*群众 0.200185679768*受伤 0.199341680824*新疆 0.198413281986*暴恐 0.184235058821*分子
0.294658036914*马航 0.191221632502*黄海波 0.187845695719*事件 0.166667011802*中国 0.159607623063*乌鲁木齐
0.252288070119*NBA 0.206817703462*马刺 0.189157359534*雷霆 0.177775254445*篮球 0.17396161244*实力
0.359368441008*舌尖 0.280758033284*美食 0.143000582269*美味 0.113552316213*粽子 0.103320627226*舌尖上的中国
