0.211791504091*游戏 0.210387786483*NBA 0.199157700389*地址 0.193016349547*活动 0.18564665949*官方
0.3027112398*泰国 0.202296329799*英拉 0.18714898803*军方 0.177620455514*政变 0.130222986858*政府
0.276701974591*刘汉 0.221769702777*社会 0.218208964163*关注 0.142931142417*官方 0.140388216051*刘维
0.284167647227*欧冠 0.281482275683*欧冠 0.19695038634*决赛 0.154684812235*皇马 0.0827148785147*马德里
0.459107580604*归来 0.198680507902*电影 0.119962768593*巩俐 0.115956031793*张艺谋 0.106293111108*陈道明
0.280759774215*暴恐 0.239746127928*乌鲁木齐 0.188347274832*新疆 0.171096926878*暴力 0.120049896148*分子
0.254809770883*暴恐 0.195715577769*乌鲁木齐 0.187308032288*新疆 0.184882810307*受伤 0.177283808754*乌鲁木齐市
0.345475052482*马航 0.195539181914*失联 0.174473787882*航班 0.146469103645*飞机 0.138042874078*MH370
0.450213628913*NBA 0.165457784512*季后赛 0.162265012331*热火 0.121626722554*步行者 0.10043685169*马刺
0.271118268019*欧冠 0.251905237454*欧冠 0.175053795941*决赛 0.172918976948*时间 0.129003721638*北京
0.250991994995*刘汉 0.217143859935*刘维 0.19328785796*一审 0.175550945599*宣判 0.16302534151*组织
0.589768161653*归来 0.181397883977*电影 0.0865354347802*时代 0.0712649773837*父亲 0.0710335422065*家庭
0.402461382885*归来 0.175694096827*新疆 0.151035772974*战警 0.139147010492*蜘蛛侠 0.131661736822*游戏
0.236710956116*舌尖 0.234799000792*舌尖上的中国 0.210133752038*美食 0.178202790274*秘境 0.14015350078*美味
0.308694223672*NBA 0.217901832996*篮球 0.202734162463*游戏 0.143132358222*体育 0.127537422648*网页
0.457194642795*粽子 0.161911897852*新疆 0.1476452325*活动 0.124089194108*老人 0.109159032745*中国
0.276139768656*新疆 0.229369344577*乌鲁木齐 0.177729521624*事件 0.167478527918*发生 0.149282837226*暴恐
0.64226356504*新疆 0.104385337024*中国 0.0864071232958*地方 0.0836555102995*草原 0.0832884643402*受伤
0.344362526524*舌尖 0.178582918141*归来 0.161724087925*美食 0.160162776445*新疆 0.155167690965*舌尖上的中国
0.388959716428*粽子 0.230042074997*舌尖 0.180218753307*美食 0.113540217668*活动 0.0872392375994*味道
