0.427127403392*归来 0.168806425415*电影 0.16417021588*战警 0.129220396725*逆转 0.110675558588*张艺谋
0.364166022405*粽子 0.215627315262*舌尖 0.17995291897*美食 0.120916100811*好吃 0.119337642552*发现
0.267169866132*欧冠 0.266220732436*欧冠 0.217518904414*决赛 0.148045823874*皇马 0.101044673144*马德里
0.39569870481*新疆 0.165962168603*云南 0.16102929873*海南 0.142706926039*贵州 0.134602901817*香港
0.277161969721*于正 0.210827140253*袁姗姗 0.178803429475*剧中 0.169653797824*卫视 0.163553662727*浙江
0.280983227945*舌尖上的中国 0.23154710256*秘境 0.184870273767*新疆 0.173603497815*家常 0.128995897913*播出
0.264103906484*新疆 0.225401538615*卫视 0.186972125087*主演 0.167893695674*时代 0.155628734139*剧中
0.487969825062*归来 0.17075905818*电影 0.12624052584*等待 0.114087570167*爱情 0.100943020751*陆焉
0.290367199612*欧冠 0.269601295133*决赛 0.268169153037*欧冠 0.0913016310143*马德里 0.0805607212034*关注
0.474560858915*归来 0.135533143933*爱情 0.132485896199*电影 0.13222102816*观众 0.125199072793*巩俐
0.258864394613*新疆 0.258357845408*舌尖 0.194782456599*美食 0.14564415308*舌尖上的中国 0.1423511503*粽子
0.59982229532*NBA 0.117494215398*热火 0.0960843753992*快船 0.0934736523266*球队 0.0931254615562*马刺
0.316461807993*马航 0.197950153818*失联 0.172325883385*观看 0.165599651598*新疆 0.147662503207*中国
0.301446468842*刘汉 0.194429325491*刘维 0.175737965301*黑社会 0.172072763716*组织 0.156313476651*一审
0.44599196279*新疆 0.226636072404*中国 0.123113357637*北京 0.111362379464*乌鲁木齐 0.0928962277053*美国
0.280313464246*欧冠 0.275982925185*欧冠 0.184252172999*决赛 0.16299275083*归来 0.0964586867398*时间
0.510437248814*归来 0.263018744782*电影 0.0783544139325*张艺谋 0.0766746120289*巩俐 0.0715149804428*陈道明
0.26001503505*舌尖 0.217230527171*英拉 0.199922230114*泰国 0.179696870419*舌尖上的中国 0.143135337246*总理
0.241877730718*暴恐 0.216082081328*新疆 0.20507296355*乌鲁木齐 0.191257383193*分子 0.145709841211*案件
0.417792232687*新疆 0.171012033883*乌鲁木齐 0.157456571588*民族 0.136601882848*公园 0.117137278994*反恐
