0.34410974165*刘汉 0.191645151949*黑社会 0.175832082818*刘维 0.145622611767*领导 0.142790411815*性质
0.245049319323*欧冠 0.231278067459*欧冠 0.197331330563*皇马 0.184467721871*决赛 0.141873560785*球场
0.252990506512*欧冠 0.224492552525*欧冠 0.21535144661*皇马 0.181207187114*西班牙 0.12595830724*世界杯
0.284946324615*欧冠 0.278470389952*欧冠 0.196009981934*皇马 0.152494612703*决赛 0.0880786907953*冠军
0.317509556109*世界杯 0.212367572149*巴西 0.165692571066*西班牙 0.165593419267*冠军 0.13883688141*夺冠
0.266597326973*欧冠 0.260842211199*欧冠 0.186228521793*世界杯 0.145324212345*粽子 0.14100772769*决赛
0.336019863718*归来 0.215786915017*逆转 0.174487034745*战警 0.137097422217*马航 0.136608764303*观看
0.278764052749*欧冠 0.277536754789*欧冠 0.164573396611*皇马 0.153096815096*决赛 0.126028980754*比赛
0.498738863385*归来 0.207210653479*电影 0.101437849852*巩俐 0.10077449028*张艺谋 0.0918381430042*陈道明
0.256242174849*新疆 0.219938483882*剧中 0.201306278484*主演 0.178448074387*卫视 0.144064988398*时代
0.22571986378*欧冠 0.212472792529*欧冠 0.208975308192*皇马 0.18687221182*拉莫斯 0.165959823679*C罗
0.393672775842*新疆 0.26459958941*暴恐 0.1216675456*行动 0.112569282836*喀什 0.107490806312*和田
0.281067686803*舌尖 0.219116972724*泡面 0.176979344466*宿舍 0.162194177382*大学生 0.160641818625*舌尖上的中国
0.278075856336*欧冠 0.272983917169*欧冠 0.186927083956*皇马 0.15220830973*决赛 0.109804832809*冠军
0.257923743111*舌尖 0.193909179128*欧冠 0.190957147677*欧冠 0.189869557143*决赛 0.16734037294*喜欢
0.209390356271*冠军 0.202560978496*西甲 0.197012204478*皇马 0.196707226117*欧冠 0.194329234638*欧冠
0.331729151751*NBA 0.224588192919*热火 0.154189990251*步行者 0.147665275888*球队 0.141827389191*篮球
0.239809015199*舌尖上的中国 0.206309362885*秘境 0.191513354628*影片 0.185650920918*家常 0.176717346371*地点
0.261199127628*欧冠 0.245817751272*欧冠 0.22986966216*皇马 0.170187191926*决赛 0.0929262670143*拉莫斯
0.477131243703*新疆 0.139906994401*美食 0.130440454003*中国 0.129211148557*粽子 0.123310159337*位于
