0.339696531824*世界杯 0.219016118118*时间 0.161317411006*北京 0.144657704961*球迷 0.135312234091*精彩
0.513701101786*世界杯 0.166797434723*巴西 0.114918743023*西班牙 0.10904536505*足球 0.0955373554183*球迷
0.277311037733*欧冠 0.274792051827*欧冠 0.207742141199*皇马 0.126501166595*冠军 0.113653602647*决赛
0.376189640594*刘汉 0.181190600353*刘维 0.16639301878*黑社会 0.14633420302*一审 0.129892537253*性质
0.311183856114*马航 0.213958956256*观看 0.178909251927*爱奇艺 0.17068008631*失联 0.125267849392*飞机
0.496477027326*归来 0.214567252137*电影 0.119329487984*张艺谋 0.0850244807318*陈道明 0.084601751822*巩俐
0.343424961219*舌尖 0.227359445145*美食 0.171986006201*粽子 0.138707314227*味道 0.118522273208*舌尖上的中国
0.371686115615*世界杯 0.256883185488*巴西 0.134606857756*德国 0.122021472987*冠军 0.114802368154*西班牙
0.558118882112*归来 0.135424437484*等待 0.110470406775*电影 0.108339855516*时间 0.0876464181125*王者
0.301271034104*新疆 0.20893736004*活动 0.208641521725*粽子 0.152412519201*中国 0.128737564929*舌尖
0.313696687394*NBA 0.209239879136*雷霆 0.180056372903*马刺 0.149903465843*篮球 0.147103594724*球队
0.239480104644*欧冠 0.231947606945*欧冠 0.21272704307*世界杯 0.183376963129*决赛 0.132468282212*比赛
0.624685470909*粽子 0.14971016591*活动 0.0810072994574*粽叶 0.0790720177694*糯米 0.0655250459538*准备
0.301723023231*舌尖 0.287547155599*宿舍 0.152299247393*大赛 0.137931618889*凤姐 0.120498954888*奇葩
0.269590975305*舌尖 0.236047069574*泡面 0.203841584177*宿舍 0.14621590983*舌尖上的中国 0.144304461114*大学生
0.211961180428*手机 0.207739676446*专场 0.194898790594*配件 0.193667635821*现金 0.19173271671*小米
0.36307060341*新疆 0.195193023847*中国 0.171158648719*全国 0.152950712162*上海 0.117627011861*活动
0.294973432265*归来 0.216376903964*观看 0.185846333175*导演 0.156568314355*高清 0.146235016241*电影
0.252938864328*美食 0.245361234141*发现 0.226025107485*新疆 0.152861973669*喜欢 0.122812820378*舌尖
0.459709831896*新疆 0.203711098054*暴恐 0.131958351953*工作 0.105619024369*宗教 0.0990016937277*社会
