0.245521118636*新疆 0.198735609749*暴恐 0.193045245491*民族 0.181665096145*问题 0.181032929979*政策
0.522400050036*新疆 0.217386044738*暴恐 0.0967071538815*爆炸 0.0855354990017*暴力 0.0779712523422*警方
0.406645176794*世界杯 0.156787345288*巴西 0.151247376164*观看 0.143768044702*公布 0.141552057052*时间
0.506709927591*归来 0.211750405571*电影 0.122502275155*张艺谋 0.0803016658094*巩俐 0.0787357258735*爱情
0.289870759822*舌尖 0.252819014713*粽子 0.211236186285*美食 0.14488533823*舌尖上的中国 0.10118870095*新疆
0.420371453641*NBA 0.155409313964*机会 0.151840206688*热火 0.140033635566*加油 0.13234539014*总决赛
0.476652641575*世界杯 0.241944837068*巴西 0.136600812222*足球 0.0774654711468*球队 0.0673362379885*支持
0.420606301156*粽子 0.178923217665*人们 0.169789493555*活动 0.122951661662*世界杯 0.107729325961*舌尖
0.440430808372*世界杯 0.186217143144*球迷 0.179068938996*足球 0.100440594287*球星 0.0938425152007*巴西
0.203965639497*配件 0.202626311425*粽达 0.200339782306*小米 0.197236455575*专场 0.195831811196*吃货
0.247386663472*NBA 0.201583673147*热火 0.188216749205*篮球 0.183528631027*实力 0.179284283149*切换
0.288594942355*马航 0.203392862598*马来西亚 0.188878556634*失联 0.161546009421*客机 0.157587628992*公布
0.436764891369*新疆 0.167724986599*贵州 0.153564784158*云南 0.124024453694*四川 0.11792088418*西藏
0.474577379537*粽子 0.217974029413*活动 0.120096910357*新疆 0.116293639027*社区 0.0710580416664*免费
0.24909168799*世界杯 0.219956850333*巴西 0.186112255403*德国 0.176759479262*冠军 0.168079727012*夺冠
0.232718680403*新疆 0.217512536267*会议 0.192358847022*推进 0.17962359206*社会 0.177786344248*研究
0.216450524194*粽子 0.20974598224*宝贝 0.202568807023*手机 0.191519658119*看看 0.179715028424*成绩
0.417956931984*新疆 0.189041552306*板块 0.133638660167*关注 0.130594677263*股份 0.12876817828*个股
0.28414720979*欧冠 0.279867763721*欧冠 0.187321784553*皇马 0.128031767287*冠军 0.120631474649*决赛
0.257774048927*新疆 0.220394625161*粽子 0.213815621006*活动 0.155204191964*中国 0.152811512941*归来
