0.272974922651*世界杯 0.203363113906*赢取 0.197888400177*手机 0.178334273082*机会 0.147439290184*参与
0.330029104178*NBA 0.205184325195*雷霆 0.193462377253*马刺 0.140284205613*篮球 0.131039987762*球队
0.257721693365*活动 0.205648560966*粽子 0.181818800773*中国 0.180494546957*世界杯 0.174316397939*文化
0.336408226033*世界杯 0.214019657935*巴西 0.169499986104*西班牙 0.152015854047*国家 0.128056275881*意大利
0.34115482745*新疆 0.18795089062*宣判 0.175014386653*案件 0.150434840337*大会 0.14544505494*暴恐
0.5934923726*粽子 0.112825120926*活动 0.109265524511*粽叶 0.104321575571*舌尖 0.0800954063921*美食
0.346867147877*世界杯 0.227823152768*巴西 0.15538142939*体育 0.141193109996*球队 0.12873515997*球星
0.228411764736*世界杯 0.20542817981*巴西 0.198479660022*夺冠 0.188799176487*冠军 0.178881218945*德国
0.299526507271*粽子 0.211590005226*新疆 0.175539541642*美食 0.157345782598*发现 0.155998163262*世界杯
0.293752005366*新疆 0.195745941515*马航 0.194668895478*文件 0.162089961364*喀什 0.153743196278*官方
0.21859958031*新疆 0.217809563546*游客 0.200861762141*奖励 0.185134756368*旅游 0.177594337634*暴恐
0.509988266168*新疆 0.171107931309*中国 0.114488834723*旅游 0.108868564755*头条 0.0955464030454*天山
0.317608935541*粽子 0.29284502952*活动 0.144851263954*机会 0.127555765858*参与 0.117139005127*获得
0.520558761177*归来 0.20239113344*电影 0.113055542971*张艺谋 0.0829207527935*巩俐 0.0810738096185*陈道明
0.445497708952*新疆 0.160667049255*北京 0.157000475247*云南 0.122500694936*贵州 0.11433407161*天津
0.202303266445*粽子 0.200063994474*现金 0.200063994474*专场 0.199296274634*手机 0.198272469973*小米
0.270720259765*欧冠 0.198957526142*世界杯 0.192875694068*决赛 0.191659648192*皇马 0.145786871833*球员
0.324433303483*新疆 0.213552440699*美食 0.161191396303*发现 0.15982277986*中国 0.141000079655*舌尖
0.320321718299*舌尖 0.270969424563*归来 0.164947091895*舌尖上的中国 0.135297940675*战警 0.108463824569*美食
0.487880128317*世界杯 0.204618362*巴西 0.155414700644*足球 0.0774998639849*球迷 0.0745869450543*支持
