0.523268023413*粽子 0.132227602488*回家 0.123926292269*喜欢 0.118590063931*妈妈 0.101988017898*世界杯
0.289158233359*NBA 0.19995325402*体育 0.182627356033*决赛 0.164364754245*时间 0.163896402344*比赛
0.228029519808*世界杯 0.218791625321*霍金 0.198371162296*英格兰队 0.18378527562*夺冠 0.171022416954*公式
0.322081663458*世界杯 0.234018426648*欧冠 0.160930238392*皇马 0.151542975651*决赛 0.131426695852*足球
0.530606337805*粽子 0.204412467149*活动 0.10966955834*社区 0.082198354169*传统 0.0731132825363*文化
0.460899863625*世界杯 0.155556646274*巴西 0.136215046*中国 0.12798504942*足球 0.119343394681*关注
0.432529985894*舌尖 0.169645045335*粽子 0.166975101907*美食 0.137811300495*舌尖上的中国 0.0930385663687*中国
0.248333805859*活动 0.227402077167*舌尖 0.205518680668*归来 0.167460033364*世界杯 0.151285402942*粽子
0.537776213237*归来 0.216481535133*电影 0.100926367251*张艺谋 0.0736116346438*巩俐 0.0712042497353*故事
0.457596418412*世界杯 0.204043090985*巴西 0.13585785571*足球 0.105876976169*人们 0.0966256587231*投票
0.335402125037*世界杯 0.228169420463*球迷 0.160943088701*比赛 0.144867339827*巴西 0.130618025972*正宗
0.282738906912*世界杯 0.236411566255*巴西 0.168014055259*冠军 0.1677778697*夺冠 0.145057601874*预测
0.334513798274*世界杯 0.214389879744*参与 0.167883680385*竞猜 0.155161878777*机会 0.128050762819*巴西
0.211789766127*实力 0.20838063247*NBA 0.207670315615*篮球 0.19161931221*切换 0.180539973579*安踏
0.32089096758*马航 0.188035957669*MH370 0.186250275681*失联 0.169107728588*信号 0.135715070481*航班
0.220320549093*舌尖 0.218215154432*旅游 0.193735501682*玩转 0.186101455772*人品 0.181627339021*大转盘
0.228338578796*手机 0.213499122024*粽子 0.197223555958*现金 0.180469371611*吃货 0.180469371611*小米
0.447624006355*粽子 0.211979477619*粽叶 0.156611131647*返青 0.0967137435528*大战 0.0870716408261*颜色
0.461729293177*世界杯 0.253323428984*巴西 0.139238782222*足球 0.0752797506434*球迷 0.070428744974*世界
0.296773108537*NBA 0.247401458933*热火 0.187455415642*步行者 0.13467790648*篮球 0.133692110408*无价
