0.394354436264*春晚 0.198336087446*观看 0.18261734391*综艺 0.11234606619*高清 0.11234606619*央视
0.381280518715*邓紫棋 0.181819039198*爱 0.152694134984*泡沫 0.143868435013*优 0.14033787209*现场
0.382996765946*邓紫棋 0.196721301921*我是歌手 0.150525439109*唱 0.137113643*泡沫 0.132642850024*春晚
0.245512606007*春晚 0.230404579522*春节 0.228516163719*中国 0.148255516834*参加 0.147311133918*央视
0.227689248893*春晚 0.217847215367*央视春晚 0.192913763572*亮相 0.19094528759*参加 0.170604484578*马
0.317162421588*春晚 0.191686292264*王 0.177830112704*铮亮 0.160894491918*歌手 0.152426681526*马
0.418429563451*春晚 0.157043280131*李敏镐 0.143872988986*邀请 0.143872988986*马 0.136781178446*舞台
0.528805976213*春晚 0.158503174286*央视 0.123201643028*春节 0.0958252704855*马 0.0936639359869*表演
0.295730634749*春晚 0.239624671001*节目 0.181765593381*表演 0.14962180181*亮相 0.133257299059*导演组
0.377688375036*邓紫棋 0.27038354283*我是歌手 0.126721992533*唱 0.116485681987*存在 0.108720407614*歌手
0.443148431606*春晚 0.160888284086*表演 0.143547784339*主持 0.142584423242*朱军 0.109831076726*明星
0.30223741466*春晚 0.191031738011*新春 0.172198661256*大奖 0.171301733194*国美 0.163230452879*幸福
0.379801665131*春晚 0.223213507568*节目 0.197115481308*小品 0.107145969726*观众 0.0927233762664*唱歌
0.465508594757*春晚 0.16564177097*录制 0.161331391951*卫视 0.113918985499*全国 0.0935992568221*中国
0.42285756248*春晚 0.18511836646*唱 0.134304319756*除夕 0.134304319756*走红 0.123415431547*时间
0.435886073063*春晚 0.17595169617*舞台 0.14058627271*央视春晚 0.123787979028*表演 0.123787979028*李敏镐
0.22208707502*宋祖英 0.201759670149*春晚 0.197512142283*马 0.193264614417*大年初二 0.185376498131*音乐会
0.243455753969*春晚 0.19851862558*马 0.192592795639*广告 0.184691689053*植入 0.180741135759*冯小刚
0.237675157266*李敏镐 0.208621096408*春晚 0.196951497567*张亮 0.182662721298*央视春晚 0.174089527462*父子
0.436057255951*春晚 0.14694895273*邓紫棋 0.143132529848*中国 0.1402700714*飞 0.133591190071*爱
