0.406101650091*高考 0.20892001923*考生 0.16228522239*粽子 0.115649987696*孩子 0.107043120592*考试
0.584966488142*粽子 0.141883243387*舌尖 0.12289974127*活动 0.0770589029438*粽叶 0.073191624257*传统
0.256193085234*招远 0.219879959756*打死 0.179181336152*山东 0.173488418602*麦当劳 0.171257200257*女子
0.362140057156*马航 0.213091177164*飞机 0.170586957289*MH370 0.127515909256*中国 0.126665899135*世界杯
0.524346758637*高考 0.125914268113*单词 0.11819273262*背单词 0.117883667355*百词 0.113662573276*加油
0.263082689327*招远 0.226281822667*麦当劳 0.201373060607*山东 0.164347283375*打死 0.144915144023*公安局
0.290320835821*世界杯 0.239246522096*活动 0.178955774907*参与 0.158218799615*现场 0.133258067561*足球
0.369556795149*归来 0.242908634687*粽子 0.183542099895*电影 0.103892854545*风云 0.100099615724*吃货
0.475059573841*世界杯 0.169084138329*巴西 0.15517081595*足球 0.120623226585*球迷 0.0800622452951*时间
0.217803364515*杨幂 0.208139663692*地址 0.201635289871*粉丝 0.192529345672*正品 0.179892336251*小票
0.345484675373*NBA 0.189740248265*马刺 0.17789578502*雷霆 0.143747318117*篮球 0.143131973225*球队
0.369599210178*高考 0.264208713036*舌尖 0.154433636276*学生 0.121306156559*舌尖上的中国 0.090452283951*美食
0.220057104043*舌尖 0.200237957752*旅游 0.196447506025*玩转 0.192115976769*人品 0.191141455411*大转盘
0.442882497499*归来 0.211225833927*朋友 0.157065932713*电影 0.0947822048303*高考 0.0940435310298*张艺谋
0.430102186421*归来 0.166178563279*电影 0.15591506546*仙剑 0.131477825371*时代 0.116326359468*奇侠传
0.502779569896*高考 0.155844528953*时间 0.120130756264*考生 0.114797079843*工作 0.106448065043*世界杯
0.241953784942*发生 0.207011523408*麦当劳 0.20344832006*招远市 0.185862002437*快餐店 0.161724369154*山东
0.532992545171*高考 0.132762382306*加油 0.131333590092*高三 0.104963178539*考生 0.0979483038928*考试
0.374449000582*世界杯 0.232837289416*巴西 0.143742910447*冠军 0.136476033353*夺冠 0.112494766203*预测
0.342346328648*观看 0.231196142499*爱奇艺 0.165247011529*欧冠 0.151909127707*皇马 0.109301389618*黄海波
