0.450575266912*招远 0.147660224027*转发 0.143258519111*机会 0.132454085806*山东 0.126051904143*事情
0.399336026889*招远 0.168491111584*事件 0.147321867812*山东 0.14487345563*打死 0.139977538085*麦当劳
0.502205912865*归来 0.245215649438*电影 0.0937201744359*感觉 0.0809623778213*故事 0.0778958854397*高考
0.334199597197*招远 0.193119454004*事件 0.171437049035*社会 0.152067299277*黄海波 0.149176600488*中国
0.429433824984*世界杯 0.219798876807*巴西 0.125731646055*冠军 0.121542624922*西班牙 0.103493027231*预测
0.315059148057*高考 0.270951281598*舌尖 0.191136189353*舌尖上的中国 0.134846133098*美食 0.0880072478941*喜欢
0.267566110743*招远 0.228562726305*光头 0.171199220918*招远市 0.167527036423*保时捷 0.16514490561*卡宴
0.314055454139*归来 0.278512085238*招远 0.141646142156*演员 0.137402168018*电影 0.128384150449*NBA
0.345365064156*招远 0.244377321613*事件 0.173614295451*麦当劳 0.141957084593*山东 0.0946862341866*打死
0.349332003924*招远 0.204318412801*麦当劳 0.174338064939*山东 0.147421539963*公安局 0.124589978373*女孩
0.376979895165*招远 0.186423393646*山东 0.157994897689*嫌犯 0.148518405047*邪教 0.130083408454*公布
0.444933981351*招远 0.15876234141*公安局 0.143087244117*山东 0.136522407034*公安 0.116694026088*招远市
0.557291323588*高考 0.126473489907*孩子 0.112759591719*考生 0.104937781823*考场 0.0985378129622*加油
0.263904944498*打死 0.244457346496*招远 0.195449275192*活活 0.153928461769*女子 0.142259972045*电话号码
0.330775836145*NBA 0.224562873004*热火 0.163312702287*步行者 0.152433796334*球队 0.12891479223*篮球
0.280320121431*招远 0.218489450922*山东 0.17094308*发生 0.166975265235*殴打 0.163272082412*女子
0.452295452453*招远 0.186331289383*事件 0.14461814722*麦当劳 0.115746422698*社会 0.101008688247*山东
0.297160786386*舌尖 0.261165982276*旅游 0.15291710364*人品 0.146874115649*茶叶蛋 0.141882012049*大转盘
0.263845922268*招远 0.213329087045*山东 0.181527931257*马航 0.179397789369*事件 0.161899270061*致死
0.65865214915*粽子 0.104359410105*儿童节 0.100996687223*活动 0.0686185177242*中国 0.0673732357981*粽叶
