0.307559277854*NBA 0.227566577109*马刺 0.170591644305*总决赛 0.167989749791*雷霆 0.126292750941*热火
0.253681728576*归来 0.216678738826*游戏 0.183357897797*回归 0.174706276795*玩家 0.171575358005*豪礼
0.501116446341*归来 0.230803233925*电影 0.106009342874*风云 0.0878194277032*战警 0.0742515491562*潜艇
0.401241443035*世界杯 0.186002344782*黄海波 0.153404902185*教育 0.132791681984*中国 0.126559628014*巴西
0.458961150998*归来 0.157303907934*粽子 0.130435774633*陪伴 0.128237235762*快乐 0.125061930672*时光
0.45587149893*舌尖 0.191877090176*舌尖上的中国 0.181339247333*美食 0.113721636448*中国 0.0571905271137*味道
0.301787998735*招远 0.201983180825*家人 0.188618428117*儿子 0.177409112882*分钟 0.13020127944*丈夫
0.286000886847*招远 0.202146594884*光头 0.177772944424*招远市 0.169499487921*金矿 0.164580085924*保时捷
0.530605146263*世界杯 0.206807253257*巴西 0.0892296017762*冠军 0.0874734265239*比赛 0.0858845721792*球队
0.301527476115*杨幂 0.194400842829*粽子 0.192401252482*孩子 0.158692134066*糯米 0.152978294508*产女
0.422096927181*招远 0.177627173445*山东 0.160541869128*邪教 0.121935111164*麦当劳 0.117798919081*嫌疑人
0.216576711483*世界杯 0.198822855641*高考 0.196468814848*火热 0.195193864371*毕业 0.192937753658*时光
0.309312869334*招远 0.243085104778*血案 0.202139006784*嫌犯 0.123487748447*打死 0.121975270656*照片
0.403868143831*归来 0.190363858922*时间 0.140294530126*托利 0.140294530126*骨折 0.125178936994*世界杯
0.209981115321*世界杯 0.206557926483*巴西 0.199621562743*预测 0.19439691737*冠军 0.189442478082*夺冠
0.411511432656*世界杯 0.150675559803*足球 0.149017496783*人们 0.144516057442*加油 0.144279453316*巴西
0.521984325253*粽子 0.212486689152*快乐 0.157340975009*儿童节 0.0556325976433*朋友 0.0525554129433*好吃
0.227502144286*世界杯 0.222193798421*儿童 0.187310650604*球迷 0.18427731011*属于 0.17871609658*童心
0.38353364139*招远 0.207411024464*事件 0.173167134989*麦当劳 0.129695202321*山东 0.106192996837*餐厅
0.3296853772*招远 0.179792402489*麦当劳 0.169355607257*事件 0.168058163471*打死 0.153108449582*山东
