0.461162878402*世界杯 0.213076604419*巴西 0.135288820029*球迷 0.108277771882*足球 0.0821939252676*球队
0.342994067575*舌尖 0.182326721182*娱乐 0.180580196455*归来 0.151240696612*凤凰 0.142858318177*舌尖上的中国
0.268697258818*世界杯 0.226453969929*高考 0.178208787833*加油 0.169437270607*时光 0.157202712813*旅行
0.477423784883*招远 0.144206664745*山东 0.128772439642*儿子 0.128311507003*事件 0.121285603727*麦当劳
0.445660422575*招远 0.162755122419*山东 0.136361094671*邪教 0.13132781665*血案 0.123895543686*麦当劳
0.202022215531*分钟 0.201615058041*旅游 0.199714989757*舌尖 0.198493517289*茶叶蛋 0.198154219382*大转盘
0.513823688812*归来 0.146512913853*电影 0.145068446146*粽子 0.102972268327*爱情 0.0916226828617*感动
0.534047145237*世界杯 0.159946603659*巴西 0.110887917523*中国 0.100135285086*足球 0.0949830484957*热身赛
0.295538904065*粽子 0.26985968752*端午节 0.173326706151*端午 0.13697661273*屈原 0.124298089534*艾叶
0.445160156078*世界杯 0.158169937832*时间 0.152698894852*西班牙 0.124845557677*球员 0.11912545356*名单
0.3052660219*NBA 0.272279315037*世界杯 0.154000607821*总决赛 0.136869565748*热火 0.131584489494*马刺
0.241989949832*杨幂 0.214605281337*粽子 0.188473420521*糯米 0.184893595592*儿童节 0.170037752719*妈妈
0.299476195651*粽子 0.230807999077*快乐 0.22642115027*端午节 0.131601763352*世界杯 0.11169289165*端午
0.410386558558*粽子 0.223182512448*端午节 0.148271463417*端午 0.135490706825*快乐 0.0826687587523*舌尖
0.206775340797*游戏 0.201912449153*计划 0.198557110311*回归 0.196545786747*邀请 0.196209312992*归来
0.266352871174*高清 0.197074249234*导演 0.184653937734*爱奇艺 0.178305723244*归来 0.173613218614*杨幂
0.343936462018*舌尖 0.190064713692*粽子 0.1862608398*美食 0.163900722966*舌尖上的中国 0.115837261523*端午
0.249975402377*世界杯 0.217852319167*巴西 0.180143339411*冠军 0.179475084373*德国 0.172553854671*夺冠
0.467020221725*归来 0.186274570083*电影 0.128565966823*战警 0.120767484263*风云 0.0973717571068*潜艇
0.369246757939*粽子 0.241914093407*端午节 0.16595829953*端午 0.131214702509*快乐 0.0916661466155*活动
