0.348057876443*世界杯 0.2727967039*体育 0.13254671504*提供 0.124840603082*球队 0.121758101536*爱奇艺
0.425840069667*招远 0.191050750883*事件 0.138763661502*黄海波 0.126194891057*邪教 0.11815062689*麦当劳
0.396254177364*世界杯 0.163904313045*巴西 0.159358728283*足球 0.149465919722*西班牙 0.131016861586*参与
0.269183385638*杨幂 0.217295729657*粽子 0.206333594859*糯米 0.165164761264*宝宝 0.142022528581*中国
0.21630819199*节奏 0.213866728517*兄弟 0.199707138718*小苹果 0.187500229691*电影 0.182617711084*世界杯
0.396911182017*舌尖 0.225139637036*美食 0.162533504357*粽子 0.130318874684*舌尖上的中国 0.0850968019057*中国
0.457496718702*世界杯 0.20093375526*巴西 0.134215744057*名单 0.110484941304*球员 0.0968688406766*时间
0.592219039065*归来 0.164831944617*电影 0.0879227607366*风云 0.0813844328336*战警 0.073641822747*巩俐
0.245209821663*世界杯 0.226824205241*巴西 0.182254892334*预测 0.173681963301*德国 0.172029117461*冠军
0.421101164774*粽子 0.271955085199*端午节 0.137825539845*活动 0.0876646806508*传统 0.0814535295315*文化
0.418674506973*NBA 0.191829239816*热火 0.155122321995*总决赛 0.154200956216*马刺 0.0801729750002*詹姆斯
0.273825617541*归来 0.211195657913*游戏 0.18366139802*豪礼 0.168230512446*玩家 0.163086814079*计划
0.274338555513*归来 0.191176827448*博客 0.182049251888*中国 0.180527801182*招远 0.171907563969*头条
0.299999719269*世界杯 0.224493962617*球队 0.167640506674*名单 0.157753148849*球帝 0.150112662591*小组
0.205775034496*手机 0.200465972566*游戏 0.1991617659*地址 0.197671243995*参与 0.196925983043*明星
0.268133312147*招远 0.204167003791*血案 0.190049696198*麦当劳 0.174277148425*死者 0.163372839439*祭奠
0.37586334077*招远 0.189007505013*山东 0.175546957689*杀人案 0.133016049218*嫌疑人 0.126566147311*邪教
0.547083198605*粽子 0.187653149888*端午节 0.100147575577*归来 0.0877024949927*妈妈 0.0774135809375*好吃
0.202533293154*旅游 0.201318002849*舌尖 0.200190428492*分钟 0.198022995726*茶叶蛋 0.197935279779*人品
0.483841595969*世界杯 0.141950129232*活动 0.131886288707*加油 0.130032466468*巴西 0.112289519623*足球
