0.400359738352*杨幂 0.185425010753*食物 0.172510552884*场景 0.130999502846*羊肉 0.110705195166*舌尖
0.390714916275*招远 0.175216212593*血案 0.167131565094*麦当劳 0.140926035879*祭奠 0.126011270159*邪教
0.220085183569*世界杯 0.205738653855*现金 0.205586098169*球迷 0.186355478249*红包 0.182234586158*选择
0.480751085716*世界杯 0.185340041259*巴西 0.128709182147*足球 0.122580005366*球迷 0.0826196855114*活动
0.330640448881*粽子 0.285113288238*舌尖 0.166936339545*美食 0.119471634799*活动 0.0978382885369*文化
0.440039143144*世界杯 0.193172122497*巴西 0.135015250627*球员 0.124893347467*球队 0.106880136265*球迷
0.482806640965*世界杯 0.213502619086*巴西 0.144744108489*足球 0.0814663965259*球队 0.077480234935*西班牙
0.222243197745*糯米 0.213070886779*杨幂 0.206382495173*孩子 0.184980054416*越学越 0.173323365887*小名
0.589130674953*归来 0.134820086734*电影 0.100837005719*游戏 0.0930377538155*故事 0.0821744787785*等待
0.416661939553*世界杯 0.172840040162*巴西 0.150794793179*体育 0.134921974269*中国队 0.124781252836*爱奇艺
0.645646314831*粽子 0.0978274382678*活动 0.0891320308597*糯米 0.0842405221154*味道 0.0831536939257*好吃
0.386140293287*NBA 0.251006444417*马刺 0.146204920503*热火 0.136141574605*总决赛 0.080506767187*季后赛
0.462712129252*舌尖 0.241491236349*美食 0.134226433134*舌尖上的中国 0.0824103483646*旅游 0.0791598529*中国
0.486365111707*粽子 0.230642974458*归来 0.0997831096946*活动 0.0921496130603*中国 0.0910591910795*高考
0.252277892395*世界杯 0.23075626218*巴西 0.190749794737*德国 0.169311507857*西班牙 0.156904542831*夺冠
0.480743510306*归来 0.178124380694*电影 0.134184353277*风云 0.12355395557*战警 0.0833938001529*张艺谋
0.436073194828*招远 0.152014764249*事件 0.142908047352*麦当劳 0.139055193118*发生 0.129948800453*邪教
0.254368638673*活动 0.2338746409*粽子 0.190476719479*NBA 0.174804795264*音乐 0.146475205684*兄弟
0.275860569881*免费 0.196401902502*地址 0.191904198914*官方 0.172789285529*限量 0.163044043174*世界杯
0.308664238638*世界杯 0.183228227044*舌尖 0.181113892839*中国 0.167725178766*黄海波 0.159268462713*教育
