0.421018257459*世界杯 0.227922651806*巴西 0.181903110234*足球 0.10681028823*球迷 0.0623456922714*比赛
0.303574659698*中国 0.227814434019*德国 0.194701844561*归来 0.142782259914*世界杯 0.131126801808*美国
0.380559812814*舌尖 0.209852992777*美食 0.147794891654*活动 0.13385593074*粽子 0.127936372016*世界杯
0.233569050356*世界杯 0.212950939988*音乐 0.18750015153*索尼 0.183312038332*生命 0.182667819795*主题曲
0.266809145059*NBA 0.190333001523*哈登 0.186681037239*公布 0.17830319152*詹姆斯 0.177873624659*阵容
0.597315436242*粽子 0.132913917563*祝福 0.105070842655*龙舟 0.0990294385961*活动 0.0656703649447*香囊
0.280852881842*归来 0.23809447784*世界杯 0.220602200281*NBA 0.143344587842*期待 0.117105852195*电影
0.263218099069*高考 0.209355871497*舌尖上的中国 0.184977832433*学校 0.172294833327*美食 0.170153363675*观众
0.257620409692*归来 0.226474278335*杨幂 0.188701225394*糯米 0.187375907759*孩子 0.13982817882*食物
0.319946664729*NBA 0.241919049627*总决赛 0.188867441112*马刺 0.18543943254*热火 0.0638274119907*詹姆斯
0.234373767159*世界杯 0.202445286955*中国 0.199728524336*小苹果 0.193614303959*德国 0.16983811759*西班牙
0.412538729507*舌尖 0.202027317404*杨幂 0.137907313342*美食 0.123763319874*刘恺威 0.123763319874*出院
0.262041556728*归来 0.197905672823*游戏 0.183507585752*玩家 0.179843337731*豪礼 0.176701846966*邀请
0.231778176924*世界杯 0.214914362628*巴西 0.189764085399*德国 0.18719759629*冠军 0.17634577876*夺冠
0.337656495524*世界杯 0.204635881781*现金 0.177997012411*球迷 0.14167159169*围观 0.138039018594*活动
0.417158192166*世界杯 0.234368943135*巴西 0.135992260316*德国 0.12693460251*西班牙 0.085546001873*球队
0.33898128994*世界杯 0.175563201156*NBA 0.169238933836*时间 0.161903008379*体育 0.154313566689*球队
0.235930129444*世界杯 0.207792138104*直播 0.192099702562*医院 0.188041394509*医生 0.176136635381*南京
0.566488393066*归来 0.13504442026*世界杯 0.11248038051*粽子 0.0953864931191*等待 0.0906003130447*希望
0.357649489924*招远 0.189985297673*麦当劳 0.182858498741*山东 0.14497455251*事件 0.124532161152*邪教
