0.354843697959*舌尖 0.200156718371*人品 0.168964707142*活动 0.140510955417*美食 0.135523921111*参加
0.20098854942*巴西 0.200407030976*世界杯 0.19970448261*等待 0.199462103423*价值 0.199437833571*小伙伴
0.262482486931*德国 0.192327174643*世界杯 0.186575635162*西班牙 0.185121920894*预测 0.173492782371*巴西
0.475387187033*世界杯 0.137246400451*足球 0.136063241827*球迷 0.129437832357*活动 0.121865338332*获得
0.200584450873*俱乐部 0.200524490794*支持 0.200400573298*佩戴 0.199459999532*国旗 0.199030485503*站队
0.324738651893*世界杯 0.194270837663*巴西 0.163802447882*巴西队 0.159245043387*冠军 0.157943019174*球队
0.208180730537*大奖 0.207565902484*围观 0.202236991159*福利 0.192838216864*现金 0.189178158956*世界杯
0.429956901704*世界杯 0.234348227909*巴西 0.115101026688*爱奇艺 0.111460160279*体育 0.10913368342*比赛
0.368820559329*世界杯 0.215718797556*游戏 0.143069984432*邀请 0.13879670785*手机 0.133593950832*伙伴
0.252026134202*世界杯 0.237664650466*德国 0.201528909917*世界 0.182766219516*中国 0.126014085899*足球
0.36567587656*高考 0.272826570397*作文 0.136895644032*语文 0.126929388577*加油 0.0976725204343*考试
0.264719950953*NBA 0.218103263649*马刺 0.193505641729*热火 0.163333803021*篮球 0.160337340648*球队
0.262363489321*高考 0.199863852961*高三 0.189995519948*学生 0.178879463325*无缘 0.168897674446*柳艳兵
0.215093571399*考生 0.19905419048*准考证 0.198498185307*家长 0.195994827083*考场 0.191359225731*作文题
0.323998814596*世界杯 0.269844945931*巴西 0.149846794726*动作 0.136616048083*美女 0.119693396664*阳光
0.285235623152*归来 0.248325086482*杨幂 0.172120508358*孩子 0.169737003574*糯米 0.124581778433*回家
0.235338016455*红包 0.232033593727*球迷 0.194531489787*巴西 0.172806869899*现金 0.165290030132*世界杯
0.253284034736*世界杯 0.233097842316*巴西 0.199200834356*球迷 0.194058623303*现金 0.12035866529*红包
0.386317869737*世界杯 0.298176528053*巴西 0.11285264545*冠军 0.106072508718*预测 0.0965804480417*夺冠
0.336437802325*NBA 0.255194256889*总决赛 0.162769286788*热火 0.149352895569*马刺 0.096245758429*詹姆斯
