0.290063144933*世界杯 0.220364866135*德国 0.212766147027*巴西 0.14207135731*西班牙 0.134734484595*夺冠
0.229391175066*考生 0.202441244234*高考 0.195465996977*考场 0.192454056289*作文题 0.180247527433*家长
0.225660323331*世界杯 0.210980134821*巴西 0.190951738949*围观 0.188004772415*红包 0.184403030484*中大奖
0.336776416505*世界杯 0.182899536841*巴西 0.173860056587*冠军 0.165839856899*足球 0.140624133169*预测
0.360430302242*高考 0.271132152105*作文 0.190085903123*语文 0.0930264516119*加油 0.0853251909181*考试
0.264656786517*高考 0.22229341394*救人 0.195736263298*无缘 0.162194745285*学生 0.15511879096*高三
0.230594565609*世界杯 0.198241659338*小伙伴 0.193925855562*围观 0.189226403254*大奖 0.188011516238*现金
0.203897078195*中奖 0.199882821475*福利 0.199736348318*告诉 0.199531137194*中大奖 0.196952614818*红包
0.406317822706*世界杯 0.229244864894*德国 0.141460635844*比赛 0.117382587484*球迷 0.105594089071*中国
0.441020524774*NBA 0.152267883218*总决赛 0.148437922309*篮球 0.137255684446*体育 0.121017985253*马刺
0.224705599789*支持 0.206246157789*球迷 0.192576361576*选择 0.188485376097*关注 0.187986504749*俱乐部
0.360631358596*狗肉 0.253384090462*玉林 0.168967381339*广西 0.13220093923*抵制 0.0848162303732*朋友
0.232374635285*高考 0.228578952549*学生 0.209056371085*学校 0.171909049525*山羊 0.158080991555*项目
0.210126652772*站队 0.206557376248*佩戴 0.19759278397*红包 0.193484195699*国旗 0.192238991311*现金
0.20177697418*世界杯 0.201395583877*巴西 0.199145769345*小伙伴 0.198955223524*免费 0.198726449074*等待
0.309692259857*高考 0.236619631133*作文题 0.169265540657*高考作文 0.152597834344*作文 0.131824734008*世界
0.296269028144*世界杯 0.224990843953*巴西 0.188916956999*球迷 0.145173025815*激情 0.144650145088*红包
0.455896223062*舌尖 0.211682014873*美食 0.146609872631*舌尖上的中国 0.0936899074971*味道 0.0921219819372*中国
0.204226309591*世界杯 0.203010312042*活动 0.201051311267*参加 0.196189236028*最高 0.195522831072*围观
0.541366005323*归来 0.151363171205*电影 0.137069423032*游戏 0.0925787160209*玩家 0.0776226844192*伙伴
