0.247469678761*世界杯 0.210080178324*高考 0.20243732156*朋友 0.186738298781*小伙伴 0.153274522574*旅行
0.250324222916*柳艳兵 0.222173958986*高考 0.182979823408*学生 0.173451856142*高三 0.171070138548*江西
0.201202630951*巴西 0.200050128272*小伙伴 0.200000055947*免费 0.199649269937*世界杯 0.199097914893*加入
0.378423124081*高考 0.210445008239*作文 0.16575360871*考生 0.133219700015*作文题 0.112158558956*考试
0.21093007708*沙漠 0.201197892087*穿越 0.198078496146*剧本 0.197891300928*独木桥 0.191902233758*老规矩
0.244079831451*世界杯 0.200399829278*巴西 0.192505953472*预测 0.192242863996*冠军 0.170771521803*德国
0.228276902834*考生 0.208376883504*救人 0.196754440876*柳艳兵 0.192862323531*江西 0.173729449255*考试
0.420649345912*世界杯 0.226086621505*巴西 0.160598333523*球迷 0.0970121850807*激情 0.0956535139803*准备
0.394864821881*狗肉 0.220330016259*玉林 0.139835320467*不吃 0.124871354384*抵制 0.120098487009*广西
0.201535733918*世界杯 0.201279802073*现金 0.199507801398*大奖 0.198995937707*福利 0.198680724904*围观
0.390191779268*世界杯 0.219071194124*巴西 0.168158274318*球队 0.119724332531*足球 0.102854419759*NBA
0.26820410719*中国 0.261759151394*世界杯 0.173677174081*足球 0.153889956874*德国 0.142469610462*舌尖
0.251158368796*世界 0.22282311305*属于 0.200927285539*作文 0.16847032332*高考 0.156620909295*风景
0.295106130765*高考 0.234928755572*作文题 0.20323358906*高考作文 0.16200893012*作文 0.104722594483*题目
0.21292059895*活动 0.20526340323*参加 0.198520553054*世界杯 0.194789664668*中奖率 0.188505780098*围观
0.265652928823*归来 0.20540780167*青春 0.189279310257*数码 0.173624818485*胶片 0.166035140765*小时
0.280518338313*杨幂 0.207532421321*孩子 0.179740456793*回家 0.168052332566*观看 0.164156451007*糯米
0.316724481374*高考 0.276875147273*作文 0.182730206189*语文 0.115078629289*高考作文 0.108591535875*作文题
0.203360955809*俱乐部 0.199587260528*球迷 0.199587260528*选择 0.199469278783*支持 0.197995244352*关注
0.481759523024*归来 0.157427809946*德国 0.131509802028*电影 0.117951176067*时间 0.111351688935*喜欢
